UNITID,INSTNM,CITY,STABBR,yield_rate,grad_rate_6yr
101912,Oakwood University,Huntsville,AL,24.2,49.0
106704,University of Central Arkansas,Conway,AR,29.1,49.0
107558,University of the Ozarks,Clarksville,AR,16.9,49.0
149231,Southern Illinois University-Edwardsville,Edwardsville,IL,18.4,49.0
159966,Nicholls State University,Thibodaux,LA,36.7,49.0
166638,University of Massachusetts-Boston,Boston,MA,14.2,49.0
169363,Concordia University Ann Arbor,Ann Arbor,MI,16.8,49.0
177144,Culver-Stockton College,Canton,MO,18.9,49.0
180489,The University of Montana,Missoula,MT,18.3,49.0
181127,Hastings College,Hastings,NE,20.5,49.0
190558,College of Staten Island CUNY,Staten Island,NY,,49.0
193016,Mercy University,Dobbs Ferry,NY,15.9,49.0
196024,SUNY College of Technology at Delhi,Delhi,NY,15.8,49.0
200800,University of Akron Main Campus,Akron,OH,19.7,49.0
205443,Shawnee State University,Portsmouth,OH,,49.0
206349,Ursuline College,Pepper Pike,OH,22.1,49.0
212115,East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,20.3,49.0
213598,Lincoln University,Lincoln University,PA,11.7,49.0
214166,Mount Aloysius College,Cresson,PA,15.1,49.0
214272,Neumann University,Aston,PA,11.5,49.0
215284,University of Pittsburgh-Johnstown,Johnstown,PA,15.2,49.0
217688,Charleston Southern University,Charleston,SC,15.7,49.0
220206,Welch College,Gallatin,TN,,49.0
220552,South College,Knoxville,TN,,49.0
221892,Trevecca Nazarene University,Nashville,TN,27.4,49.0
226152,Texas A & M International University,Laredo,TX,36.2,49.0
228529,Tarleton State University,Stephenville,TX,32.8,49.0
230047,Brigham Young University-Hawaii,Laie,HI,69.6,49.0
232982,Old Dominion University,Norfolk,VA,19.7,49.0
237358,Davis & Elkins College,Elkins,WV,43.8,49.0
243179,University of Puerto Rico-Humacao,Humacao,PR,88.5,49.0
408844,Florida National University-Main Campus,Hialeah,FL,,49.0
486840,Kennesaw State University,Kennesaw,GA,51.4,49.0
