UNITID,INSTNM,CITY,STABBR,ic2025,ic2025name,saec2025,saec2025name,research2025,research2025name,basic2021,control,sector_label,setting2025,setting2025name,ic2025size,size_label,highest_degree_2025,hbcu,hsi,tribal,womenonly,landgrant,pbi,annhsi,aanapisi,nasnti,medical,rpu,LONGITUD,LATITUDE,WEBADDR,COUNTYCD,cbsa_name,locale_group,admission_rate,grad_rate_6yr,completion_rate_8yr,still_enrolled_8yr,transfer_out_8yr,enrollment_total,enrollment_ug,pct_women,pct_white,pct_black,pct_hispanic,pct_asian,pct_aian,pct_nhpi,pct_two_or_more,pct_unknown,pct_nonresident,pell_2023,pell_ratio,saec_earnings,saec_compearn,earnings_ratio,saec_urm_ratio,access_ratio,saec_pct_urm,saec_pct_black,saec_pct_hispanic,saec_pct_asian,saec_pct_white,net_price,net_price_pub,net_price_priv,tuition_in_state,tuition_out_of_state,grad_debt_median,pct_federal_loan,herd_avg,sat_avg,act_avg,yield_rate,grad_ratio,academic_tier,athletic_association,ncaa_division,sports_offered,relaffil_label,primary_recruit_state,primary_recruit_pct
182290,University of Nevada-Reno,Reno,NV,6,Mixed Undergraduate/Graduate-Doctorate Large,3,"Lower Access, Medium Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,3,Residential,4,Large,Doctorate,0,0,0,0,1,0,0,0,0,1,0,-119.815377,39.543642,www.unr.edu/,32031,"Reno, NV",City,85.0,63.0,60.9,1.1,11.9,21778.0,17965.0,55.0,49.0,4.0,24.0,8.0,1.0,0.0,9.0,2.0,3.0,0.257234524408656,0.78,54896.0,38163.15569616173,1.44,0.91,0.85,0.384814391432525,0.03,0.25,0.08,0.53,15198.0,15198.0,,7876.0,24832.0,18922.0,0.2774,181891.0,,,39.5,minority,,NCAA,NCAA Division I-FBS,"Baseball, Basketball, Track & Field, Football, Golf, Skiing, Soccer, Softball, Swimming and Diving, Tennis, Track and Field X Country, Volleyball",,Nevada,0.7444
227368,The University of Texas Rio Grande Valley,Edinburg,TX,6,Mixed Undergraduate/Graduate-Doctorate Large,6,"Opportunity Colleges and Universities – Higher Access, Higher Earnings",2,Research 2: High Spending and Doctorate Production,16,1,Public,4,Primarily non-residential,5,Very Large,Doctorate,0,1,0,0,2,0,0,0,0,1,1,-98.173567,26.306759,www.utrgv.edu/,48215,"McAllen-Edinburg-Mission, TX",City,85.0,51.0,54.9,3.2,18.3,31931.0,27040.0,59.0,3.0,1.0,91.0,2.0,0.0,0.0,0.0,1.0,2.0,0.637963663890992,1.16,44456.0,23334.37878146848,1.91,1.06,1.11,0.9707850013488,0.0,0.96,0.01,0.02,7007.0,7007.0,,7637.0,17707.0,12950.0,0.2428,68344.0,1010,19.0,49.1,minority,b-range,NCAA,NCAA Division I without football,"Baseball, Basketball, Track & Field, Golf, Soccer, Tennis, Volleyball",,Texas,0.9972
200332,North Dakota State University-Main Campus,Fargo,ND,7,Mixed Undergraduate/Graduate-Doctorate Medium,3,"Lower Access, Medium Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,1,Highly residential,3,Medium,Doctorate,0,0,0,0,1,0,0,0,0,0,1,-96.800838,46.893127,https://www.ndsu.edu/,38017,"Fargo, ND-MN",City,96.0,65.0,61.7,0.6,25.4,11952.0,9791.0,51.0,80.0,3.0,3.0,2.0,1.0,0.0,4.0,1.0,6.0,0.192853496681981,0.81,57779.0,44134.16472808773,1.31,0.88,0.85,0.113492450073064,0.03,0.03,0.02,0.87,16875.0,16875.0,,9309.0,13963.0,23199.0,0.5302,176428.0,,21.5,31.5,minority,b-range,NCAA,NCAA Division I-FCS,"Baseball, Basketball, Track & Field, Football, Golf, Soccer, Softball, Volleyball, Wrestling",,Minnesota,0.5595
207458,Oklahoma City University,Oklahoma City,OK,8,Mixed Undergraduate/Graduate-Doctorate Small,5,"Lower Access, Higher Earnings",-2,No research designation,17,2,Private nonprofit,1,Highly residential,2,Small,Doctorate,0,0,0,0,2,0,0,0,0,0,0,-97.541242,35.495271,www.okcu.edu/,40109,"Oklahoma City, OK",City,70.0,65.0,71.4,0.0,17.2,2763.0,1447.0,62.0,56.0,6.0,12.0,4.0,2.0,0.0,8.0,1.0,10.0,0.238724727838258,0.68,53863.0,35404.46856858555,1.52,0.92,0.8,0.321822189566495,0.06,0.14,0.03,0.65,24142.0,,24142.0,29836.0,29836.0,20835.0,0.4694,0.0,,23.0,37.2,minority,b-range,NAIA,NAIA Division I,"Baseball, Basketball, Track & Field, Golf, Rowing, Soccer, Softball, Volleyball, Wrestling",United Methodist,Oklahoma,0.4396
209287,Multnomah University,Portland,OR,10,Mixed Undergraduate/Graduate-Master's Small,4,"Higher Access, Medium Earnings",-2,No research designation,20,2,Private nonprofit,1,Highly residential,2,Small,Master's,0,0,0,0,2,0,0,0,0,0,0,-122.575557,45.527139, ,41051,"Portland-Vancouver-Hillsboro, OR-WA",City,50.0,55.0,56.6,1.0,23.4,532.0,330.0,47.0,46.0,13.0,15.0,4.0,1.0,1.0,8.0,3.0,9.0,0.477333333333333,1.67,43436.0,39907.86180987688,1.09,1.86,1.76,0.508241758241758,0.17,0.22,0.04,0.45,27872.0,,27872.0,29560.0,29560.0,20250.0,0.8234,0.0,,,36.7,minority,b-plus,,,,,Oregon,0.3529
219949,Cumberland University,Lebanon,TN,13,Professions-focused Associate/Baccalaureate,6,"Opportunity Colleges and Universities – Higher Access, Higher Earnings",-2,No research designation,19,2,Private nonprofit,2,Primarily residential,2,Small,Master's,0,0,0,0,2,0,0,0,0,0,0,-86.298782,36.204514,www.cumberland.edu/,47189,"Nashville-Davidson--Murfreesboro--Franklin, TN",Town,67.0,53.0,62.8,0.0,18.2,3072.0,2652.0,54.0,58.0,10.0,8.0,1.0,0.0,0.0,3.0,9.0,9.0,0.388831437435367,1.41,59093.0,38684.397473322315,1.53,1.13,1.27,0.273650793650794,0.15,0.09,0.02,0.71,19184.0,,19184.0,26640.0,26640.0,17952.0,0.31,0.0,,,36.0,minority,b-range,NAIA,NAIA Division I,"Baseball, Basketball, Bowling, Football, Golf, Soccer, Softball, Tennis, Track and Field Indoor, Track and Field Outdoor, Track and Field X Country, Volleyball, Wrestling",,Tennessee,0.9258
171456,Northern Michigan University,Marquette,MI,14,Professions-focused Baccalaureate Medium,3,"Lower Access, Medium Earnings",-2,No research designation,19,1,Public,2,Primarily residential,3,Medium,Master's,0,0,0,0,2,0,0,0,0,0,1,-87.406568,46.559751,https://www.nmu.edu/,26103,"Marquette, MI",Town,70.0,53.0,53.2,0.9,24.5,7197.0,6584.0,62.0,84.0,2.0,4.0,1.0,1.0,0.0,4.0,3.0,1.0,0.278709269218602,0.96,43141.0,32573.50534700515,1.32,0.98,0.97,0.116996416887366,0.02,0.04,0.01,0.88,16723.0,16723.0,,12726.0,18348.0,21474.0,0.5371,1707.6666666666667,,,32.0,minority,b-range,NCAA,NCAA Division II with football,"Basketball, Football, Golf, Ice Hockey, Lacrosse, Skiing, Soccer, Swimming and Diving, Track and Field Indoor, Track and Field Outdoor, Track and Field X Country, Volleyball, Wrestling",,Michigan,0.741
219259,Northern State University,Aberdeen,SD,14,Professions-focused Baccalaureate Medium,4,"Higher Access, Medium Earnings",-2,No research designation,20,1,Public,3,Residential,3,Medium,Master's,0,0,0,0,2,0,0,0,0,0,1,-98.484728,45.450829,https://northern.edu/,46013,"Aberdeen, SD",Town,93.0,56.0,46.8,0.8,28.3,3521.0,2932.0,63.0,85.0,2.0,4.0,1.0,1.0,0.0,2.0,1.0,2.0,0.269475357710652,1.11,42830.0,42926.22304061827,1.0,1.22,1.16,0.152011922503726,0.04,0.05,0.03,0.82,17523.0,17523.0,,7616.0,10718.0,22320.0,0.5632,259.0,,21.0,31.8,minority,b-range,NCAA,NCAA Division II with football,"Baseball, Basketball, Track & Field, Football, Soccer, Softball, Swimming, Volleyball, Wrestling",,South Dakota,0.675
220613,Lee University,Cleveland,TN,14,Professions-focused Baccalaureate Medium,3,"Lower Access, Medium Earnings",-2,No research designation,19,2,Private nonprofit,1,Highly residential,3,Medium,Master's,0,0,0,0,2,0,0,0,0,0,0,-84.871399,35.166019,www.leeuniversity.edu/,47011,"Cleveland, TN",City,72.0,58.0,56.2,0.6,23.9,3680.0,3253.0,61.0,75.0,4.0,3.0,1.0,0.0,0.0,5.0,9.0,3.0,0.314120054570259,0.93,41919.0,35767.277302969924,1.17,0.46,0.69,0.129021774455639,0.06,0.02,0.01,0.86,20083.0,,20083.0,21960.0,21960.0,25750.0,0.7963,0.0,1130,23.0,35.6,minority,b-plus,NCAA,NCAA Division II without football,"Baseball, Basketball, Track & Field, Golf, Lacrosse, Soccer, Softball, Tennis, Volleyball",Church of God,Tennessee,0.5004
141185,Toccoa Falls College,Toccoa Falls,GA,15,Professions-focused Baccalaureate Small,3,"Lower Access, Medium Earnings",-2,No research designation,22,2,Private nonprofit,1,Highly residential,2,Small,Bachelor's,0,0,0,0,2,0,0,0,0,0,0,-83.357617,34.593414,https://tfc.edu/,13257,"Toccoa, GA",Town,64.0,53.0,48.7,0.3,30.8,2532.0,2489.0,63.0,69.0,11.0,9.0,2.0,0.0,0.0,3.0,3.0,3.0,0.474251497005988,1.41,39143.0,38312.78460699942,1.02,0.55,0.98,0.219101123595506,0.11,0.07,0.03,0.75,20663.0,,20663.0,23250.0,23250.0,22250.0,0.6181,0.0,1155,23.0,38.1,minority,b-plus,NCCAA,NCCAA Division II,"Baseball, Basketball, Soccer, Volleyball",Christian and Missionary Alliance,Georgia,0.7749
