UNITID,cip_family,total_awards,cip_label
100654,01,28.0,Agriculture
100654,03,4.0,Natural Resources
100654,04,1.0,Architecture
100654,10,24.0,Communications Tech
100654,11,26.0,Computer Science
100654,13,21.0,Education
100654,14,57.0,Engineering
100654,15,19.0,Engineering Tech
100654,19,10.0,Family/Consumer Sciences
100654,23,7.0,English
100654,24,25.0,Liberal Arts
100654,26,76.0,Biological Sciences
100654,27,5.0,Mathematics
100654,31,24.0,Parks/Recreation
100654,40,7.0,Physical Sciences
100654,42,34.0,Psychology
100654,43,32.0,Homeland Security
100654,44,23.0,Public Administration
100654,45,10.0,Social Sciences
100654,50,4.0,Visual/Performing Arts
100654,52,74.0,Business
100663,05,2.0,Area/Ethnic Studies
100663,09,79.0,Communication
100663,11,87.0,Computer Science
100663,13,188.0,Education
100663,14,176.0,Engineering
100663,16,14.0,Foreign Languages
100663,23,44.0,English
100663,24,97.0,Liberal Arts
100663,26,407.0,Biological Sciences
100663,27,15.0,Mathematics
100663,38,15.0,Philosophy/Religion
100663,40,70.0,Physical Sciences
100663,42,251.0,Psychology
100663,43,109.0,Homeland Security
100663,44,39.0,Public Administration
100663,45,92.0,Social Sciences
100663,50,97.0,Visual/Performing Arts
100663,51,578.0,Health Professions
100663,52,577.0,Business
100663,54,45.0,History
100690,19,8.0,Family/Consumer Sciences
100690,39,16.0,Theology
100690,43,2.0,Homeland Security
100690,52,14.0,Business
100706,09,21.0,Communication
100706,11,168.0,Computer Science
100706,13,31.0,Education
100706,14,504.0,Engineering
100706,15,6.0,Engineering Tech
100706,16,14.0,Foreign Languages
100706,23,35.0,English
100706,26,87.0,Biological Sciences
100706,27,29.0,Mathematics
100706,30,30.0,Interdisciplinary
100706,31,47.0,Parks/Recreation
100706,38,10.0,Philosophy/Religion
100706,40,88.0,Physical Sciences
100706,42,50.0,Psychology
100706,45,29.0,Social Sciences
100706,50,58.0,Visual/Performing Arts
100706,51,176.0,Health Professions
100706,52,275.0,Business
100706,54,14.0,History
100724,09,26.0,Communication
100724,11,27.0,Computer Science
100724,13,35.0,Education
100724,14,8.0,Engineering
100724,23,2.0,English
100724,26,58.0,Biological Sciences
100724,27,4.0,Mathematics
100724,30,41.0,Interdisciplinary
100724,31,4.0,Parks/Recreation
100724,40,6.0,Physical Sciences
100724,42,21.0,Psychology
100724,43,43.0,Homeland Security
100724,44,28.0,Public Administration
100724,45,8.0,Social Sciences
100724,50,45.0,Visual/Performing Arts
100724,51,38.0,Health Professions
100724,52,79.0,Business
100724,54,2.0,History
100751,03,25.0,Natural Resources
100751,05,11.0,Area/Ethnic Studies
100751,09,640.0,Communication
100751,11,96.0,Computer Science
100751,13,177.0,Education
100751,14,630.0,Engineering
100751,16,82.0,Foreign Languages
100751,19,456.0,Family/Consumer Sciences
100751,23,84.0,English
100751,24,0.0,Liberal Arts
100751,26,257.0,Biological Sciences
100751,27,87.0,Mathematics
100751,30,109.0,Interdisciplinary
100751,31,186.0,Parks/Recreation
100751,38,24.0,Philosophy/Religion
100751,40,80.0,Physical Sciences
100751,42,356.0,Psychology
100751,44,71.0,Public Administration
100751,45,690.0,Social Sciences
100751,50,180.0,Visual/Performing Arts
100751,51,633.0,Health Professions
100751,52,2147.0,Business
100751,54,114.0,History
100812,11,20.0,Computer Science
100812,13,233.0,Education
100812,23,23.0,English
100812,24,68.0,Liberal Arts
100812,26,12.0,Biological Sciences
100812,27,17.0,Mathematics
100812,30,6.0,Interdisciplinary
100812,31,8.0,Parks/Recreation
100812,38,4.0,Philosophy/Religion
100812,40,2.0,Physical Sciences
100812,42,15.0,Psychology
100812,43,13.0,Homeland Security
100812,45,17.0,Social Sciences
100812,49,0.0,Transportation
100812,50,11.0,Visual/Performing Arts
100812,51,13.0,Health Professions
100812,52,235.0,Business
100812,54,11.0,History
100830,03,7.0,Natural Resources
100830,09,11.0,Communication
100830,11,65.0,Computer Science
100830,13,44.0,Education
100830,16,1.0,Foreign Languages
100830,23,10.0,English
100830,26,59.0,Biological Sciences
100830,27,4.0,Mathematics
100830,30,83.0,Interdisciplinary
100830,31,37.0,Parks/Recreation
100830,40,13.0,Physical Sciences
100830,42,40.0,Psychology
100830,43,21.0,Homeland Security
100830,44,15.0,Public Administration
100830,45,17.0,Social Sciences
100830,50,24.0,Visual/Performing Arts
100830,51,122.0,Health Professions
100830,52,138.0,Business
100830,54,4.0,History
100858,01,234.0,Agriculture
100858,03,136.0,Natural Resources
100858,04,118.0,Architecture
100858,09,229.0,Communication
100858,11,222.0,Computer Science
100858,13,236.0,Education
100858,14,969.0,Engineering
100858,16,27.0,Foreign Languages
100858,19,184.0,Family/Consumer Sciences
100858,22,50.0,Legal Professions
100858,23,44.0,English
100858,24,2.0,Liberal Arts
100858,26,602.0,Biological Sciences
100858,27,38.0,Mathematics
100858,30,63.0,Interdisciplinary
100858,38,7.0,Philosophy/Religion
100858,40,54.0,Physical Sciences
100858,42,203.0,Psychology
100858,44,25.0,Public Administration
100858,45,148.0,Social Sciences
100858,49,131.0,Transportation
100858,50,160.0,Visual/Performing Arts
100858,51,362.0,Health Professions
100858,52,1455.0,Business
100858,54,46.0,History
100937,03,5.0,Natural Resources
100937,04,3.0,Architecture
100937,05,2.0,Area/Ethnic Studies
100937,09,7.0,Communication
100937,11,12.0,Computer Science
100937,13,7.0,Education
100937,14,2.0,Engineering
100937,16,3.0,Foreign Languages
100937,23,8.0,English
100937,26,18.0,Biological Sciences
100937,27,8.0,Mathematics
100937,30,4.0,Interdisciplinary
100937,38,7.0,Philosophy/Religion
100937,40,6.0,Physical Sciences
100937,42,33.0,Psychology
100937,45,14.0,Social Sciences
100937,50,13.0,Visual/Performing Arts
100937,51,32.0,Health Professions
100937,52,89.0,Business
100937,54,9.0,History
101116,11,3.0,Computer Science
101116,42,0.0,Psychology
101116,43,4.0,Homeland Security
101116,51,27.0,Health Professions
101116,52,8.0,Business
101189,01,1.0,Agriculture
101189,11,2.0,Computer Science
101189,13,18.0,Education
101189,22,3.0,Legal Professions
101189,23,7.0,English
101189,24,2.0,Liberal Arts
101189,26,2.0,Biological Sciences
101189,27,2.0,Mathematics
101189,30,7.0,Interdisciplinary
101189,31,17.0,Parks/Recreation
101189,39,4.0,Theology
101189,42,23.0,Psychology
101189,43,88.0,Homeland Security
101189,45,1.0,Social Sciences
101189,50,2.0,Visual/Performing Arts
101189,51,12.0,Health Professions
101189,52,241.0,Business
101189,54,4.0,History
101365,11,1.0,Computer Science
101365,22,0.0,Legal Professions
101365,43,1.0,Homeland Security
101365,51,6.0,Health Professions
101365,52,3.0,Business
101435,09,5.0,Communication
101435,13,16.0,Education
101435,23,3.0,English
101435,26,33.0,Biological Sciences
101435,27,4.0,Mathematics
101435,31,35.0,Parks/Recreation
101435,38,1.0,Philosophy/Religion
101435,40,1.0,Physical Sciences
101435,42,8.0,Psychology
101435,43,11.0,Homeland Security
101435,45,2.0,Social Sciences
101435,50,2.0,Visual/Performing Arts
101435,51,5.0,Health Professions
101435,52,40.0,Business
101435,54,11.0,History
101453,39,10.0,Theology
101480,09,31.0,Communication
101480,11,47.0,Computer Science
101480,13,214.0,Education
101480,15,58.0,Engineering Tech
101480,16,2.0,Foreign Languages
101480,19,29.0,Family/Consumer Sciences
101480,23,17.0,English
101480,24,104.0,Liberal Arts
101480,26,75.0,Biological Sciences
101480,27,5.0,Mathematics
101480,31,35.0,Parks/Recreation
101480,40,13.0,Physical Sciences
101480,42,33.0,Psychology
101480,43,115.0,Homeland Security
101480,44,48.0,Public Administration
101480,45,29.0,Social Sciences
101480,50,78.0,Visual/Performing Arts
101480,51,320.0,Health Professions
101480,52,174.0,Business
101480,54,5.0,History
101587,09,27.0,Communication
101587,13,92.0,Education
101587,15,11.0,Engineering Tech
101587,23,4.0,English
101587,26,13.0,Biological Sciences
101587,27,7.0,Mathematics
101587,30,65.0,Interdisciplinary
101587,31,16.0,Parks/Recreation
101587,40,0.0,Physical Sciences
101587,42,30.0,Psychology
101587,43,4.0,Homeland Security
101587,45,3.0,Social Sciences
101587,50,1.0,Visual/Performing Arts
101587,51,30.0,Health Professions
101587,52,53.0,Business
101587,54,4.0,History
101675,03,0.0,Natural Resources
101675,09,16.0,Communication
101675,11,6.0,Computer Science
101675,13,3.0,Education
101675,19,8.0,Family/Consumer Sciences
101675,23,3.0,English
101675,26,8.0,Biological Sciences
101675,27,0.0,Mathematics
101675,40,1.0,Physical Sciences
101675,42,7.0,Psychology
101675,43,20.0,Homeland Security
101675,44,17.0,Public Administration
101675,45,5.0,Social Sciences
101675,50,3.0,Visual/Performing Arts
101675,52,44.0,Business
101675,54,4.0,History
101693,09,6.0,Communication
101693,11,3.0,Computer Science
101693,13,44.0,Education
101693,14,2.0,Engineering
101693,19,4.0,Family/Consumer Sciences
101693,23,7.0,English
101693,24,6.0,Liberal Arts
101693,26,5.0,Biological Sciences
101693,27,1.0,Mathematics
101693,30,3.0,Interdisciplinary
101693,31,28.0,Parks/Recreation
101693,38,4.0,Philosophy/Religion
101693,39,7.0,Theology
101693,42,15.0,Psychology
101693,45,10.0,Social Sciences
101693,50,30.0,Visual/Performing Arts
101693,51,40.0,Health Professions
101693,52,44.0,Business
101693,54,7.0,History
101709,03,12.0,Natural Resources
101709,09,20.0,Communication
101709,11,8.0,Computer Science
101709,13,34.0,Education
101709,16,2.0,Foreign Languages
101709,19,9.0,Family/Consumer Sciences
101709,23,32.0,English
101709,26,20.0,Biological Sciences
101709,27,8.0,Mathematics
101709,30,0.0,Interdisciplinary
101709,31,38.0,Parks/Recreation
101709,40,4.0,Physical Sciences
101709,42,21.0,Psychology
101709,44,14.0,Public Administration
101709,45,26.0,Social Sciences
101709,50,70.0,Visual/Performing Arts
101709,51,22.0,Health Professions
101709,52,103.0,Business
101709,54,10.0,History
101879,04,17.0,Architecture
101879,09,34.0,Communication
101879,11,31.0,Computer Science
101879,12,0.0,Personal/Culinary
101879,13,136.0,Education
101879,15,15.0,Engineering Tech
101879,16,14.0,Foreign Languages
101879,19,13.0,Family/Consumer Sciences
101879,23,29.0,English
101879,26,44.0,Biological Sciences
101879,27,10.0,Mathematics
101879,30,79.0,Interdisciplinary
101879,31,66.0,Parks/Recreation
101879,40,5.0,Physical Sciences
101879,42,59.0,Psychology
101879,43,40.0,Homeland Security
101879,44,42.0,Public Administration
101879,45,74.0,Social Sciences
101879,50,79.0,Visual/Performing Arts
101879,51,165.0,Health Professions
101879,52,285.0,Business
101879,54,36.0,History
101912,09,8.0,Communication
101912,11,8.0,Computer Science
101912,13,8.0,Education
101912,16,6.0,Foreign Languages
101912,19,0.0,Family/Consumer Sciences
101912,23,0.0,English
101912,24,25.0,Liberal Arts
101912,26,40.0,Biological Sciences
101912,27,1.0,Mathematics
