UNITID,INSTNM,CITY,STABBR,ic2025,ic2025name,saec2025,saec2025name,research2025,research2025name,basic2021,control,sector_label,setting2025,setting2025name,ic2025size,size_label,highest_degree_2025,hbcu,hsi,tribal,womenonly,landgrant,pbi,annhsi,aanapisi,nasnti,medical,rpu,LONGITUD,LATITUDE,WEBADDR,COUNTYCD,cbsa_name,locale_group,admission_rate,grad_rate_6yr,completion_rate_8yr,still_enrolled_8yr,transfer_out_8yr,enrollment_total,enrollment_ug,pct_women,pct_white,pct_black,pct_hispanic,pct_asian,pct_aian,pct_nhpi,pct_two_or_more,pct_unknown,pct_nonresident,pell_2023,pell_ratio,saec_earnings,saec_compearn,earnings_ratio,saec_urm_ratio,access_ratio,saec_pct_urm,saec_pct_black,saec_pct_hispanic,saec_pct_asian,saec_pct_white,net_price,net_price_pub,net_price_priv,tuition_in_state,tuition_out_of_state,grad_debt_median,pct_federal_loan,herd_avg,sat_avg,act_avg,yield_rate,grad_ratio,academic_tier,athletic_association,ncaa_division,sports_offered,relaffil_label,primary_recruit_state,primary_recruit_pct
109651,Art Center College of Design,Pasadena,CA,23,"Special Focus: Arts, Music, and Design",5,"Lower Access, Higher Earnings",-2,No research designation,20,2,Private nonprofit,7,"Mostly full-time, not residential",2,Small,Master's,0,0,0,0,2,0,0,0,0,0,0,-118.185102,34.169031,www.artcenter.edu/,6037,"Los Angeles-Long Beach-Anaheim, CA",City,75.0,76.0,73.4,0.3,8.0,2382.0,2079.0,59.0,10.0,2.0,9.0,27.0,0.0,0.0,4.0,0.0,48.0,0.247515380974917,0.84,58753.0,43269.87899186371,1.36,0.58,0.71,0.262396694214876,0.02,0.17,0.56,0.18,48735.0,,48735.0,50606.0,50606.0,31000.0,0.3786,0.0,,,32.1,minority,,,,,,California,0.8267
111081,California Institute of the Arts,Valencia,CA,23,"Special Focus: Arts, Music, and Design",1,"Lower Access, Lower Earnings",-2,No research designation,19,2,Private nonprofit,2,Primarily residential,2,Small,Master's,0,0,0,0,2,0,0,0,0,0,0,-118.566837,34.39327,https://www.calarts.edu/,6037,"Los Angeles-Long Beach-Anaheim, CA",Suburb,26.0,72.0,67.3,0.3,8.9,1353.0,918.0,61.0,32.0,5.0,13.0,8.0,0.0,0.0,7.0,3.0,31.0,0.224622030237581,0.74,36250.0,39813.618681045475,0.91,0.85,0.8,0.35459940652819,0.06,0.2,0.13,0.51,51386.0,,51386.0,56074.0,56074.0,25000.0,0.3545,0.0,,,33.7,minority,a-range,,,,,California,0.4516
117168,Laguna College of Art and Design,Laguna Beach,CA,23,"Special Focus: Arts, Music, and Design",3,"Lower Access, Medium Earnings",-2,No research designation,30,2,Private nonprofit,4,Primarily non-residential,2,Small,Bachelor's,0,0,0,0,2,0,0,0,0,0,0,-117.772564,33.561448,www.lcad.edu/,6059,"Los Angeles-Long Beach-Anaheim, CA",Rural,78.0,70.0,58.1,0.6,12.8,807.0,776.0,74.0,44.0,2.0,22.0,18.0,0.0,0.0,8.0,1.0,4.0,0.314128943758573,1.05,41722.0,39716.91576785601,1.05,0.82,0.94,0.354253835425384,0.03,0.24,0.16,0.49,39709.0,,39709.0,35650.0,35650.0,27000.0,0.4585,0.0,,,64.9,minority,,,,,,California,0.6881
122506,San Francisco Conservatory of Music,San Francisco,CA,23,"Special Focus: Arts, Music, and Design",1,"Lower Access, Lower Earnings",-2,No research designation,30,2,Private nonprofit,9,Graduate-focused,1,Very Small,Master's,0,0,0,0,2,0,0,0,0,0,0,-122.420292,37.775543,https://sfcm.edu/,6075,"San Francisco-Oakland-Fremont, CA",City,52.0,71.0,67.7,0.0,0.0,403.0,215.0,43.0,33.0,3.0,11.0,6.0,0.0,0.0,7.0,3.0,37.0,0.158371040723982,0.52,27899.0,40683.99652608483,0.69,1.02,0.77,0.395833333333333,0.08,0.16,0.11,0.49,33577.0,,33577.0,52800.0,52800.0,27000.0,0.4558,0.0,,,23.7,minority,b-plus,,,,,California,0.3378
136774,Ringling College of Art and Design,Sarasota,FL,23,"Special Focus: Arts, Music, and Design",3,"Lower Access, Medium Earnings",-2,No research designation,30,2,Private nonprofit,1,Highly residential,2,Small,Bachelor's,0,0,0,0,2,0,0,0,0,0,0,-82.547803,27.360931,https://www.ringling.edu/,12115,"North Port-Bradenton-Sarasota, FL",City,67.0,80.0,74.2,0.1,15.4,1722.0,1722.0,74.0,44.0,3.0,15.0,9.0,0.0,0.0,5.0,3.0,21.0,0.211267605633803,0.65,44363.0,36761.97919398713,1.21,0.77,0.71,0.29742033383915,0.04,0.19,0.13,0.57,54319.0,,54319.0,50500.0,50500.0,27000.0,0.5479,0.0,,,24.7,none,b-range,,,,,Florida,0.3557
140951,Savannah College of Art and Design,Savannah,GA,23,"Special Focus: Arts, Music, and Design",3,"Lower Access, Medium Earnings",-2,No research designation,18,2,Private nonprofit,2,Primarily residential,3,Medium,Master's,0,0,0,0,2,0,0,0,0,0,0,-81.09395,32.072964,www.scad.edu/,13051,"Savannah, GA",City,84.0,71.0,69.9,0.3,14.9,17575.0,14657.0,70.0,48.0,11.0,6.0,6.0,1.0,0.0,1.0,5.0,22.0,0.188600104861059,0.58,42062.0,35312.68538944014,1.19,0.7,0.64,0.260904255319149,0.16,0.09,0.08,0.66,44790.0,,44790.0,40095.0,40095.0,25148.0,0.3626,0.0,1165,24.5,29.2,minority,b-plus,NAIA,NAIA Division II,"Bowling, Equestrian, Fencing, Golf, Lacrosse, Soccer, Swimming, Tennis, Track and Field X Country",,Georgia,0.1843
144281,Columbia College Chicago,Chicago,IL,23,"Special Focus: Arts, Music, and Design",2,"Higher Access, Lower Earnings",-2,No research designation,19,2,Private nonprofit,2,Primarily residential,3,Medium,Master's,0,1,0,0,2,0,0,0,0,0,0,-87.624667,41.874261,www.colum.edu/,17031,"Chicago-Naperville-Elgin, IL-IN",City,91.0,51.0,54.3,0.2,27.2,6529.0,6344.0,61.0,41.0,18.0,28.0,3.0,0.0,0.0,4.0,1.0,5.0,0.434932580746315,1.46,37399.0,37639.75235120343,0.99,1.62,1.54,0.504173885651284,0.18,0.27,0.04,0.46,26457.0,,26457.0,30734.0,30734.0,25000.0,0.5858,0.0,,,22.4,minority,,,,,,Illinois,0.559
167057,The New England Conservatory of Music,Boston,MA,23,"Special Focus: Arts, Music, and Design",1,"Lower Access, Lower Earnings",-2,No research designation,30,2,Private nonprofit,1,Highly residential,2,Small,Master's,0,0,0,0,2,0,0,0,0,0,0,-71.08629,42.340946,https://necmusic.edu/,25025,"Boston-Cambridge-Newton, MA-NH",City,43.0,81.0,76.8,0.0,11.4,784.0,393.0,46.0,29.0,2.0,1.0,12.0,0.0,0.0,8.0,1.0,47.0,0.0784810126582278,0.26,29543.0,42407.336171606396,0.7,0.55,0.4,0.184426229508197,0.04,0.04,0.2,0.62,32148.0,,32148.0,56780.0,56780.0,27000.0,0.2988,0.0,,,25.6,minority,b-plus,,,,,United States,0.1981
169442,College for Creative Studies,Detroit,MI,23,"Special Focus: Arts, Music, and Design",6,"Opportunity Colleges and Universities – Higher Access, Higher Earnings",-2,No research designation,30,2,Private nonprofit,2,Primarily residential,2,Small,Bachelor's,0,0,0,0,2,0,0,0,0,0,0,-83.062352,42.361839,https://www.ccsdetroit.edu/,26163,"Detroit-Warren-Dearborn, MI",City,93.0,62.0,60.8,1.2,8.9,1459.0,1399.0,66.0,50.0,12.0,5.0,5.0,0.0,0.0,5.0,11.0,11.0,0.311313591495824,0.97,44290.0,33749.08670675999,1.31,1.2,1.09,0.282342657342657,0.14,0.06,0.06,0.66,33834.0,,33834.0,49950.0,49950.0,26000.0,0.5528,0.0,,,25.0,minority,,,,,,Michigan,0.7839
174127,Minneapolis College of Art and Design,Minneapolis,MN,23,"Special Focus: Arts, Music, and Design",2,"Higher Access, Lower Earnings",-2,No research designation,30,2,Private nonprofit,2,Primarily residential,2,Small,Bachelor's,0,0,0,0,2,0,0,0,0,0,0,-93.274705,44.956988,https://mcad.edu/,27053,"Minneapolis-St. Paul-Bloomington, MN-WI",City,48.0,66.0,65.9,0.0,15.9,824.0,714.0,69.0,62.0,6.0,11.0,7.0,1.0,0.0,7.0,2.0,4.0,0.409288824383164,1.6,39565.0,40844.84885800149,0.97,1.3,1.45,0.25035765379113,0.05,0.11,0.08,0.67,27408.0,,27408.0,43374.0,43374.0,27000.0,0.8951,0.0,1270,22.0,39.5,minority,a-range,,,,,Minnesota,0.5966
