UNITID,INSTNM,CITY,STABBR,ic2025,ic2025name,saec2025,saec2025name,research2025,research2025name,basic2021,control,sector_label,setting2025,setting2025name,ic2025size,size_label,highest_degree_2025,hbcu,hsi,tribal,womenonly,landgrant,pbi,annhsi,aanapisi,nasnti,medical,rpu,LONGITUD,LATITUDE,WEBADDR,COUNTYCD,cbsa_name,locale_group,admission_rate,grad_rate_6yr,completion_rate_8yr,still_enrolled_8yr,transfer_out_8yr,enrollment_total,enrollment_ug,pct_women,pct_white,pct_black,pct_hispanic,pct_asian,pct_aian,pct_nhpi,pct_two_or_more,pct_unknown,pct_nonresident,pell_2023,pell_ratio,saec_earnings,saec_compearn,earnings_ratio,saec_urm_ratio,access_ratio,saec_pct_urm,saec_pct_black,saec_pct_hispanic,saec_pct_asian,saec_pct_white,net_price,net_price_pub,net_price_priv,tuition_in_state,tuition_out_of_state,grad_debt_median,pct_federal_loan,herd_avg,sat_avg,act_avg,yield_rate,grad_ratio,academic_tier,athletic_association,ncaa_division,sports_offered,relaffil_label,primary_recruit_state,primary_recruit_pct
152530,Taylor University,Upland,IN,5,Mixed Baccalaureate,3,"Lower Access, Medium Earnings",-2,No research designation,22,2,Private nonprofit,1,Highly residential,2,Small,Bachelor's,0,0,0,0,2,0,0,0,0,0,0,-85.497034,40.456246,https://www.taylor.edu/,18053,"Marion, IN",Rural,76.0,77.0,74.3,0.0,17.5,2398.0,2372.0,54.0,80.0,3.0,5.0,4.0,0.0,0.0,3.0,2.0,4.0,0.16297558205565,0.52,49870.0,39510.738845877204,1.26,0.47,0.49,0.114660581859669,0.03,0.05,0.03,0.86,25815.0,,25815.0,38140.0,38140.0,20500.0,0.4152,254.66666666666666,1205,26.5,35.7,minority,a-range,NAIA,NAIA Division I,"Baseball, Basketball, Football, Golf, Lacrosse, Soccer, Softball, Track and Field Outdoor, Track and Field X Country, Volleyball",Interdenominational,Indiana,0.4623
174491,University of Northwestern-St Paul,Saint Paul,MN,5,Mixed Baccalaureate,4,"Higher Access, Medium Earnings",-2,No research designation,20,2,Private nonprofit,1,Highly residential,2,Small,Master's,0,0,0,0,2,0,0,0,0,0,0,-93.167822,45.033703,https://www.unwsp.edu/,27123,"Minneapolis-St. Paul-Bloomington, MN-WI",Suburb,92.0,67.0,66.7,0.3,22.7,3262.0,3173.0,58.0,81.0,4.0,6.0,3.0,0.0,0.0,4.0,1.0,1.0,0.314814814814815,1.3,50059.0,44351.30954056929,1.13,1.05,1.18,0.157894736842105,0.05,0.06,0.04,0.8,24260.0,,24260.0,35970.0,35970.0,21325.0,0.581,0.0,1137,25.5,33.2,minority,b-plus,NCAA,NCAA Division III with football,"Baseball, Basketball, Football, Golf, Lacrosse, Soccer, Softball, Tennis, Track and Field Indoor, Track and Field Outdoor, Track and Field X Country, Volleyball",Other Protestant,Minnesota,0.7795
212805,Grove City College,Grove City,PA,5,Mixed Baccalaureate,-2,Not Classified in SAEC,-2,No research designation,22,2,Private nonprofit,1,Highly residential,2,Small,Bachelor's,0,0,0,0,2,0,0,0,0,0,0,-80.081481,41.1558,www.gcc.edu/,42085,"Hermitage, PA",Town,73.0,88.0,82.6,0.1,8.6,2394.0,2365.0,48.0,90.0,0.0,1.0,2.0,0.0,0.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,20890.0,20890.0,,0.0,0.0,1251,27.0,37.3,minority,a-range,,,,Undenominational,,
484844,Minerva University,San Francisco,CA,5,Mixed Baccalaureate,-2,Not Classified in SAEC,-2,No research designation,-2,2,Private nonprofit,1,Highly residential,2,Small,Bachelor's,0,0,0,0,2,0,0,0,0,0,0,-122.408039,37.782711,https://minerva.edu/,6075,"San Francisco-Oakland-Fremont, CA",City,4.0,81.0,,,,656.0,603.0,56.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,91.0,,,,,,,,,,,,,,,,18700.0,18700.0,,0.0,0.0,,,56.3,minority,straight-a,,,,,,
110635,University of California-Berkeley,Berkeley,CA,6,Mixed Undergraduate/Graduate-Doctorate Large,5,"Lower Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,2,Primarily residential,5,Very Large,Doctorate,0,0,0,0,1,0,0,1,0,0,0,-122.260463,37.871918,www.berkeley.edu/,6001,"San Francisco-Oakland-Fremont, CA",City,12.0,93.0,94.1,0.3,3.5,45699.0,33078.0,54.0,22.0,3.0,19.0,31.0,0.0,0.0,6.0,3.0,17.0,0.273317936874519,0.93,84865.0,43217.280984881516,1.96,0.76,0.84,0.344969056393853,0.03,0.25,0.41,0.24,17371.0,17371.0,,11834.0,42611.0,13000.0,0.1632,968220.3333333334,,,45.2,minority,straight-a,NCAA,NCAA Division I-FBS,"Baseball, Basketball, Beach Volleyball, Track & Field, Field Hockey, Football, Golf, Gymnastics, Lacrosse, Rowing, Soccer, Softball, Swimming and Diving, Tennis, Volleyball, Water Polo",,California,0.8527
110662,University of California-Los Angeles,Los Angeles,CA,6,Mixed Undergraduate/Graduate-Doctorate Large,5,"Lower Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,1,Highly residential,5,Very Large,Doctorate,0,0,0,0,1,0,0,1,0,1,0,-118.442179,34.07178,www.ucla.edu/,6037,"Los Angeles-Long Beach-Anaheim, CA",City,9.0,92.0,92.8,0.1,4.0,46678.0,33040.0,58.0,26.0,4.0,21.0,27.0,0.0,0.0,7.0,3.0,14.0,0.270980476822009,0.91,72864.0,42692.68945757977,1.71,0.84,0.88,0.377596242889271,0.04,0.25,0.33,0.29,15637.0,15637.0,,11834.0,42611.0,14000.0,0.2059,1570914.0,,,51.7,minority,straight-a,NCAA,NCAA Division I-FBS,"Baseball, Basketball, Beach Volleyball, Track & Field, Football, Golf, Gymnastics, Rowing, Soccer, Softball, Swimming and Diving, Tennis, Volleyball, Water Polo",,California,0.8146
123961,University of Southern California,Los Angeles,CA,6,Mixed Undergraduate/Graduate-Doctorate Large,5,"Lower Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,15,2,Private nonprofit,2,Primarily residential,5,Very Large,Doctorate,0,0,0,0,2,0,0,0,0,1,0,-118.284169,34.021281,www.usc.edu/,6037,"Los Angeles-Long Beach-Anaheim, CA",City,10.0,92.0,92.6,1.1,3.7,47147.0,21023.0,53.0,23.0,6.0,16.0,20.0,0.0,0.0,4.0,3.0,27.0,0.218629602535967,0.72,87601.0,41280.27225502022,2.12,0.87,0.8,0.359372419488026,0.08,0.21,0.29,0.35,29462.0,,29462.0,66640.0,66640.0,18000.0,0.2509,1050091.3333333333,1495,33.5,44.9,majority,straight-a,NCAA,NCAA Division I-FBS,"Baseball, Basketball, Beach Volleyball, Track & Field, Football, Golf, Lacrosse, Rowing, Soccer, Swimming and Diving, Tennis, Volleyball, Water Polo",,California,0.5009
131496,Georgetown University,Washington,DC,6,Mixed Undergraduate/Graduate-Doctorate Large,5,"Lower Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,15,2,Private nonprofit,1,Highly residential,4,Large,Doctorate,0,0,0,0,2,0,0,0,0,1,0,-77.073463,38.908809,https://www.georgetown.edu/,11001,"Washington-Arlington-Alexandria, DC-VA-MD-WV",City,13.0,95.0,94.4,0.1,4.2,20392.0,7968.0,55.0,42.0,6.0,8.0,12.0,0.0,0.0,4.0,11.0,17.0,0.111599176389842,0.37,88766.0,40529.61980192956,2.19,0.64,0.51,0.227500403942479,0.06,0.09,0.17,0.6,35965.0,,35965.0,64896.0,64896.0,15500.0,0.2243,310052.6666666667,1470,33.0,48.0,majority,straight-a,NCAA,NCAA Division I-FCS,"Baseball, Basketball, Track & Field, Field Hockey, Football, Golf, Lacrosse, Rowing, Sailing, Soccer, Softball, Squash, Swimming and Diving, Tennis, Volleyball",Roman Catholic,New York,0.1333
132903,University of Central Florida,Orlando,FL,6,Mixed Undergraduate/Graduate-Doctorate Large,6,"Opportunity Colleges and Universities – Higher Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,3,Residential,5,Very Large,Doctorate,0,1,0,0,2,0,0,0,0,1,0,-81.200889,28.602159,https://www.ucf.edu/,12095,"Orlando-Kissimmee-Sanford, FL",Suburb,40.0,75.0,73.1,0.7,12.6,69233.0,59470.0,55.0,43.0,9.0,29.0,8.0,0.0,0.0,5.0,1.0,5.0,0.335898138945059,0.96,52921.0,33672.418125235024,1.57,1.07,1.01,0.47056205981188,0.11,0.32,0.07,0.46,9949.0,9949.0,,4478.0,19810.0,18190.0,0.2463,229114.33333333334,1270,27.0,34.2,minority,a-range,NCAA,NCAA Division I-FBS,"Baseball, Basketball, Track & Field, Football, Golf, Rowing, Soccer, Softball, Tennis, Volleyball",,Florida,0.9163
133951,Florida International University,Miami,FL,6,Mixed Undergraduate/Graduate-Doctorate Large,6,"Opportunity Colleges and Universities – Higher Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,4,Primarily non-residential,5,Very Large,Doctorate,0,1,0,0,2,0,0,0,0,1,0,-80.373928,25.75732,www.fiu.edu/,12086,"Miami-Fort Lauderdale-West Palm Beach, FL",Suburb,59.0,67.0,68.7,2.0,16.1,53953.0,44363.0,57.0,10.0,11.0,64.0,3.0,0.0,0.0,2.0,1.0,9.0,0.462586246403748,1.32,54465.0,30638.15733196207,1.78,1.96,1.64,0.873380447585395,0.13,0.72,0.03,0.1,8722.0,8722.0,,4721.0,16529.0,16500.0,0.2476,278058.0,1155,23.0,35.1,minority,b-plus,NCAA,NCAA Division I-FBS,"Baseball, Basketball, Beach Volleyball, Track & Field, Football, Golf, Soccer, Softball, Swimming and Diving, Tennis, Volleyball",,Florida,0.9498
