UNITID,INSTNM,CITY,STABBR,ic2025,ic2025name,saec2025,saec2025name,research2025,research2025name,basic2021,control,sector_label,setting2025,setting2025name,ic2025size,size_label,highest_degree_2025,hbcu,hsi,tribal,womenonly,landgrant,pbi,annhsi,aanapisi,nasnti,medical,rpu,LONGITUD,LATITUDE,WEBADDR,COUNTYCD,cbsa_name,locale_group,admission_rate,grad_rate_6yr,completion_rate_8yr,still_enrolled_8yr,transfer_out_8yr,enrollment_total,enrollment_ug,pct_women,pct_white,pct_black,pct_hispanic,pct_asian,pct_aian,pct_nhpi,pct_two_or_more,pct_unknown,pct_nonresident,pell_2023,pell_ratio,saec_earnings,saec_compearn,earnings_ratio,saec_urm_ratio,access_ratio,saec_pct_urm,saec_pct_black,saec_pct_hispanic,saec_pct_asian,saec_pct_white,net_price,net_price_pub,net_price_priv,tuition_in_state,tuition_out_of_state,grad_debt_median,pct_federal_loan,herd_avg,sat_avg,act_avg,yield_rate,grad_ratio,academic_tier,athletic_association,ncaa_division,sports_offered,relaffil_label,primary_recruit_state,primary_recruit_pct
170301,Hope College,Holland,MI,5,Mixed Baccalaureate,3,"Lower Access, Medium Earnings",3,Research Colleges and Universities,21,2,Private nonprofit,1,Highly residential,2,Small,Bachelor's,0,0,0,0,2,0,0,0,0,0,0,-86.100971,42.787247,https://hope.edu/,26139,"Grand Rapids-Wyoming-Kentwood, MI",City,76.0,81.0,77.8,0.0,7.7,3368.0,3368.0,60.0,78.0,3.0,8.0,3.0,0.0,0.0,4.0,2.0,2.0,0.168454258675079,0.53,55768.0,37322.7559740352,1.49,0.65,0.59,0.153164972122007,0.04,0.08,0.02,0.82,23985.0,,23985.0,37240.0,37240.0,26800.0,0.4972,6158.666666666667,1200,28.5,21.1,none,a-range,NCAA,NCAA Division III with football,"Baseball, Basketball, Track & Field, Football, Golf, Lacrosse, Soccer, Softball, Swimming and Diving, Tennis, Volleyball",Reformed Church in America,Michigan,0.6943
212805,Grove City College,Grove City,PA,5,Mixed Baccalaureate,-2,Not Classified in SAEC,-2,No research designation,22,2,Private nonprofit,1,Highly residential,2,Small,Bachelor's,0,0,0,0,2,0,0,0,0,0,0,-80.081481,41.1558,www.gcc.edu/,42085,"Hermitage, PA",Town,73.0,88.0,82.6,0.1,8.6,2394.0,2365.0,48.0,90.0,0.0,1.0,2.0,0.0,0.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,20890.0,20890.0,,0.0,0.0,1251,27.0,37.3,minority,a-range,,,,Undenominational,,
229267,Trinity University,San Antonio,TX,5,Mixed Baccalaureate,5,"Lower Access, Higher Earnings",3,Research Colleges and Universities,21,2,Private nonprofit,1,Highly residential,2,Small,Master's,0,0,0,0,2,0,0,0,0,0,0,-98.48186,29.462682,https://new.trinity.edu/,48029,"San Antonio-New Braunfels, TX",City,28.0,80.0,78.5,0.1,17.2,2694.0,2531.0,54.0,53.0,4.0,25.0,8.0,0.0,0.0,5.0,1.0,5.0,0.165395423524689,0.49,66445.0,38790.546772122725,1.71,0.72,0.61,0.347880822492656,0.04,0.26,0.08,0.57,23567.0,,23567.0,50712.0,50712.0,22954.0,0.2921,3952.6666666666665,1392,31.5,20.5,minority,a-range,NCAA,NCAA Division III with football,"Baseball, Basketball, Football, Golf, Soccer, Softball, Swimming and Diving, Tennis, Track and Field Indoor, Track and Field Outdoor, Track and Field X Country, Volleyball",Presbyterian Church (USA),Texas,0.8086
110653,University of California-Irvine,Irvine,CA,6,Mixed Undergraduate/Graduate-Doctorate Large,6,"Opportunity Colleges and Universities – Higher Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,1,Highly residential,4,Large,Doctorate,0,1,0,0,1,0,0,1,0,1,0,-117.841248,33.648434,www.uci.edu/,6059,"Los Angeles-Long Beach-Anaheim, CA",City,26.0,84.0,86.9,0.2,8.9,36582.0,29503.0,55.0,15.0,2.0,24.0,35.0,0.0,0.0,6.0,2.0,16.0,0.373041080590555,1.27,67970.0,43747.39282622139,1.55,0.88,1.07,0.403409979665259,0.02,0.31,0.44,0.15,12426.0,12426.0,,11834.0,42611.0,15000.0,0.2105,556104.3333333334,,,21.9,minority,a-range,NCAA,NCAA Division I without football,"Baseball, Basketball, Golf, Soccer, Tennis, Track and Field Indoor, Track and Field Outdoor, Track and Field X Country, Volleyball, Water Polo",,California,0.9111
110680,University of California-San Diego,La Jolla,CA,6,Mixed Undergraduate/Graduate-Doctorate Large,5,"Lower Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,1,Highly residential,5,Very Large,Doctorate,0,0,0,0,1,0,0,1,0,1,0,-117.235866,32.877749,www.ucsd.edu/,6073,"San Diego-Chula Vista-Carlsbad, CA",City,25.0,89.0,89.7,0.3,4.4,42376.0,33792.0,52.0,19.0,2.0,22.0,31.0,0.0,0.0,6.0,2.0,18.0,0.328961682581893,1.12,77893.0,43796.975326955624,1.78,0.82,0.97,0.377074475380606,0.02,0.28,0.4,0.22,15069.0,15069.0,,11834.0,42611.0,15500.0,0.2405,1554755.3333333333,,,21.8,minority,a-range,NCAA,NCAA Division II without football,"Baseball, Basketball, Track & Field, Fencing, Golf, Rowing, Soccer, Softball, Swimming, Tennis, Volleyball, Water Polo",,California,0.8812
131469,George Washington University,Washington,DC,6,Mixed Undergraduate/Graduate-Doctorate Large,5,"Lower Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,15,2,Private nonprofit,1,Highly residential,4,Large,Doctorate,0,0,0,0,2,0,0,0,0,1,0,-77.048363,38.89923,https://www.gwu.edu/,11001,"Washington-Arlington-Alexandria, DC-VA-MD-WV",City,44.0,84.0,83.7,0.2,11.0,25568.0,11387.0,62.0,44.0,10.0,10.0,13.0,0.0,0.0,4.0,4.0,14.0,0.157714391553991,0.53,78974.0,40715.60069291901,1.94,0.87,0.7,0.295195400058474,0.09,0.15,0.15,0.55,34462.0,,34462.0,64508.0,64508.0,20449.0,0.3266,300617.0,1425,32.5,21.5,majority,straight-a,NCAA,NCAA Division I without football,"Baseball, Basketball, Track & Field, Golf, Gymnastics, Lacrosse, Rowing, Soccer, Softball, Swimming and Diving, Tennis, Volleyball, Water Polo",,New York,0.1185
134097,Florida State University,Tallahassee,FL,6,Mixed Undergraduate/Graduate-Doctorate Large,5,"Lower Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,3,Residential,5,Very Large,Doctorate,0,0,0,0,2,0,0,0,0,1,0,-84.295064,30.443147,https://www.fsu.edu/,12073,"Tallahassee, FL",City,25.0,83.0,82.4,0.2,13.9,43234.0,32217.0,58.0,56.0,9.0,21.0,4.0,0.0,0.0,4.0,1.0,6.0,0.23927074730048,0.69,55983.0,34123.14946017338,1.64,0.84,0.77,0.367837923393479,0.08,0.24,0.03,0.6,6450.0,6450.0,,4640.0,19084.0,18000.0,0.2222,366351.0,1315,29.0,31.3,minority,a-range,NCAA,NCAA Division I-FBS,"Baseball, Basketball, Beach Volleyball, Track & Field, Football, Golf, Soccer, Softball, Swimming and Diving, Tennis, Volleyball",,Florida,0.8573
135726,University of Miami,Coral Gables,FL,6,Mixed Undergraduate/Graduate-Doctorate Large,5,"Lower Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,15,2,Private nonprofit,2,Primarily residential,4,Large,Doctorate,0,0,0,0,2,0,0,0,0,1,0,-80.278662,25.72126,www.miami.edu/,12086,"Miami-Fort Lauderdale-West Palm Beach, FL",Suburb,19.0,84.0,80.7,0.2,11.9,19593.0,12883.0,55.0,43.0,8.0,24.0,5.0,0.0,0.0,4.0,4.0,11.0,0.157429390094147,0.5,70100.0,35597.01778261706,1.97,1.13,0.81,0.424354880469492,0.1,0.28,0.05,0.52,34625.0,,34625.0,58104.0,58104.0,17500.0,0.2722,441697.3333333333,1400,31.5,26.0,minority,straight-a,NCAA,NCAA Division I-FBS,"Baseball, Basketball, Track & Field, Diving, Football, Golf, Rowing, Soccer, Swimming and Diving, Tennis, Volleyball",,Florida,0.3019
139959,University of Georgia,Athens,GA,6,Mixed Undergraduate/Graduate-Doctorate Large,5,"Lower Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,2,Primarily residential,5,Very Large,Doctorate,0,0,0,0,1,0,0,0,0,1,0,-83.374039,33.956262,www.uga.edu/,13059,"Athens-Clarke County, GA",City,37.0,87.0,86.8,0.2,8.8,41615.0,31514.0,59.0,64.0,7.0,7.0,11.0,0.0,0.0,4.0,1.0,5.0,0.173002682719361,0.51,63005.0,37405.618663124194,1.68,0.47,0.49,0.186616457806037,0.07,0.08,0.12,0.69,15117.0,15117.0,,9790.0,28830.0,18500.0,0.2399,536843.6666666666,1275,28.5,38.1,minority,a-range,NCAA,NCAA Division I-FBS,"Baseball, Basketball, Track & Field, Equestrian, Football, Golf, Gymnastics, Soccer, Softball, Swimming, Tennis, Volleyball",,Georgia,0.8101
145637,University of Illinois Urbana-Champaign,Champaign,IL,6,Mixed Undergraduate/Graduate-Doctorate Large,5,"Lower Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,2,Primarily residential,5,Very Large,Doctorate,0,0,0,0,1,0,0,0,0,1,0,-88.229114,40.104718,www.illinois.edu/,17019,"Champaign-Urbana, IL",City,44.0,85.0,87.3,0.1,8.8,56563.0,35564.0,46.0,37.0,5.0,11.0,19.0,0.0,0.0,3.0,3.0,22.0,0.245687755281949,0.85,74029.0,42894.87497792072,1.73,0.84,0.84,0.276127500847745,0.07,0.16,0.26,0.46,16109.0,16109.0,,14768.0,35900.0,19500.0,0.3063,772733.3333333334,1390,31.5,28.3,minority,a-range,NCAA,NCAA Division I-FBS,"Baseball, Basketball, Track & Field, Football, Golf, Gymnastics, Soccer, Softball, Swimming and Diving, Tennis, Volleyball, Wrestling",,Illinois,0.836
