UNITID,INSTNM,CITY,STABBR,ic2025,ic2025name,saec2025,saec2025name,research2025,research2025name,basic2021,control,sector_label,setting2025,setting2025name,ic2025size,size_label,highest_degree_2025,hbcu,hsi,tribal,womenonly,landgrant,pbi,annhsi,aanapisi,nasnti,medical,rpu,LONGITUD,LATITUDE,WEBADDR,COUNTYCD,cbsa_name,locale_group,admission_rate,grad_rate_6yr,completion_rate_8yr,still_enrolled_8yr,transfer_out_8yr,enrollment_total,enrollment_ug,pct_women,pct_white,pct_black,pct_hispanic,pct_asian,pct_aian,pct_nhpi,pct_two_or_more,pct_unknown,pct_nonresident,pell_2023,pell_ratio,saec_earnings,saec_compearn,earnings_ratio,saec_urm_ratio,access_ratio,saec_pct_urm,saec_pct_black,saec_pct_hispanic,saec_pct_asian,saec_pct_white,net_price,net_price_pub,net_price_priv,tuition_in_state,tuition_out_of_state,grad_debt_median,pct_federal_loan,herd_avg,sat_avg,act_avg,yield_rate,grad_ratio,academic_tier,athletic_association,ncaa_division,sports_offered,relaffil_label,primary_recruit_state,primary_recruit_pct
177214,Drury University,Springfield,MO,5,Mixed Baccalaureate,3,"Lower Access, Medium Earnings",-2,No research designation,20,2,Private nonprofit,1,Highly residential,2,Small,Master's,0,0,0,0,2,0,0,0,0,0,0,-93.286192,37.219681,www.drury.edu/,29077,"Springfield, MO",City,59.0,60.0,58.0,0.2,29.1,1596.0,1368.0,55.0,74.0,3.0,3.0,2.0,1.0,0.0,4.0,5.0,8.0,0.273192111029949,0.85,39507.0,36149.39398309313,1.09,0.52,0.69,0.11219512195122,0.03,0.02,0.03,0.86,20126.0,,20126.0,33900.0,33900.0,20979.0,0.5299,0.0,1180,25.5,21.8,minority,b-plus,NCAA,NCAA Division II without football,"Baseball, Basketball, Track & Field, Golf, Soccer, Softball, Swimming and Diving, Tennis, Volleyball, Wrestling",Christian Church (Disciples of Christ),Missouri,0.7331
237969,West Virginia Wesleyan College,Buckhannon,WV,5,Mixed Baccalaureate,4,"Higher Access, Medium Earnings",-2,No research designation,22,2,Private nonprofit,1,Highly residential,2,Small,Bachelor's,0,0,0,0,2,0,0,0,0,0,0,-80.218969,38.990661,www.wvwc.edu/,54097,West Virginia -- Not in metropolitan statistical area,Town,95.0,54.0,54.8,0.0,32.5,991.0,938.0,50.0,67.0,12.0,6.0,1.0,1.0,0.0,3.0,3.0,8.0,0.374717832957111,1.07,46774.0,34295.99710506919,1.36,1.15,1.11,0.25206124852768,0.15,0.05,0.01,0.74,19858.0,,19858.0,32166.0,32166.0,27000.0,0.7127,0.0,1010,20.5,22.9,minority,b-range,NCAA,NCAA Division II with football,"Baseball, Basketball, Track & Field, Football, Golf, Lacrosse, Soccer, Softball, Swimming, Tennis, Volleyball",United Methodist,West Virginia,0.5031
133669,Florida Atlantic University,Boca Raton,FL,6,Mixed Undergraduate/Graduate-Doctorate Large,6,"Opportunity Colleges and Universities – Higher Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,16,1,Public,3,Residential,4,Large,Doctorate,0,1,0,0,2,0,0,0,0,1,0,-80.102978,26.372421,www.fau.edu/,12099,"Miami-Fort Lauderdale-West Palm Beach, FL",City,73.0,55.0,61.8,0.8,22.5,30790.0,24614.0,57.0,40.0,17.0,27.0,4.0,0.0,0.0,4.0,1.0,7.0,0.366712886731953,1.07,51826.0,32962.13929245621,1.57,1.27,1.17,0.549564353408744,0.2,0.31,0.04,0.41,8636.0,8636.0,,2522.0,14374.0,17236.0,0.2815,65937.33333333333,1125,23.0,21.8,minority,b-plus,NCAA,NCAA Division I-FBS,"Baseball, Basketball, Beach Volleyball, Track & Field, Football, Golf, Soccer, Softball, Swimming and Diving, Tennis, Track and Field X Country, Volleyball",,Florida,0.8253
139940,Georgia State University,Atlanta,GA,6,Mixed Undergraduate/Graduate-Doctorate Large,4,"Higher Access, Medium Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,3,Residential,5,Very Large,Doctorate,0,0,0,0,2,1,0,1,0,0,0,-84.38667,33.7527,www.gsu.edu/,13121,"Atlanta-Sandy Springs-Roswell, GA",City,62.0,56.0,56.3,1.7,17.9,34974.0,27588.0,61.0,20.0,39.0,13.0,14.0,0.0,0.0,5.0,1.0,8.0,0.509650880708786,1.51,42670.0,33494.14038786582,1.27,1.61,1.56,0.649507826367597,0.45,0.15,0.16,0.19,17202.0,17202.0,,7158.0,22389.0,20903.0,0.4377,219957.66666666666,1160,22.5,24.1,minority,b-plus,NCAA,NCAA Division I-FBS,"Baseball, Basketball, Beach Volleyball, Track & Field, Football, Golf, Soccer, Softball, Tennis, Volleyball",,Georgia,0.8688
141574,University of Hawaii at Manoa,Honolulu,HI,6,Mixed Undergraduate/Graduate-Doctorate Large,4,"Higher Access, Medium Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,3,Residential,4,Large,Doctorate,0,0,0,0,1,0,1,1,0,1,0,-157.818979,21.298598,https://manoa.hawaii.edu/,15003,"Urban Honolulu, HI",City,70.0,59.0,64.8,0.8,14.6,19256.0,14576.0,61.0,22.0,1.0,13.0,30.0,0.0,3.0,24.0,1.0,6.0,0.249443047071506,0.87,52625.0,38738.28324905126,1.36,1.15,1.01,0.442181615288046,0.02,0.15,0.34,0.21,11753.0,11753.0,,11304.0,33336.0,18500.0,0.2755,287411.3333333333,1130,23.5,22.7,minority,b-plus,NCAA,NCAA Division I-FBS,"Baseball, Basketball, Beach Volleyball, Track & Field, Football, Golf, Sailing, Soccer, Softball, Swimming and Diving, Tennis, Volleyball, Water Polo",,Hawaii,0.5668
145600,University of Illinois Chicago,Chicago,IL,6,Mixed Undergraduate/Graduate-Doctorate Large,6,"Opportunity Colleges and Universities – Higher Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,3,Residential,4,Large,Doctorate,0,1,0,0,2,0,0,1,0,1,0,-87.650503,41.871837,www.uic.edu/,17031,"Chicago-Naperville-Elgin, IL-IN",City,79.0,62.0,69.8,0.6,22.4,33522.0,22107.0,56.0,27.0,8.0,29.0,18.0,0.0,0.0,3.0,2.0,13.0,0.50122872907683,1.74,61779.0,40819.65574502047,1.51,1.62,1.68,0.515170457277492,0.09,0.4,0.23,0.26,11139.0,11139.0,,12656.0,28345.0,16704.0,0.2647,454364.6666666667,1230,28.5,23.3,minority,a-range,NCAA,NCAA Division I without football,"Baseball, Basketball, Track & Field, Golf, Soccer, Softball, Swimming and Diving, Tennis, Volleyball",,Illinois,0.9425
157289,University of Louisville,Louisville,KY,6,Mixed Undergraduate/Graduate-Doctorate Large,6,"Opportunity Colleges and Universities – Higher Access, Higher Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,3,Residential,4,Large,Doctorate,0,0,0,0,2,0,0,0,0,1,0,-85.760412,38.216862,www.louisville.edu/,21111,"Louisville/Jefferson County, KY-IN",City,81.0,62.0,56.8,1.5,24.3,22139.0,16194.0,57.0,61.0,15.0,8.0,6.0,0.0,0.0,6.0,1.0,4.0,0.33150050643901,0.92,51032.0,32743.868069120712,1.56,1.79,1.35,0.298369812301098,0.16,0.08,0.05,0.65,18277.0,18277.0,,12632.0,28978.0,20500.0,0.3445,216837.33333333334,1135,23.0,26.1,minority,b-plus,NCAA,NCAA Division I-FBS,"Baseball, Basketball, Track & Field, Field Hockey, Football, Golf, Lacrosse, Rowing, Soccer, Softball, Swimming and Diving, Tennis, Volleyball",,Kentucky,0.754
176080,Mississippi State University,Mississippi State,MS,6,Mixed Undergraduate/Graduate-Doctorate Large,3,"Lower Access, Medium Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,2,Primarily residential,4,Large,Doctorate,0,0,0,0,1,0,0,0,0,1,0,-88.790139,33.454852,https://www.msstate.edu/,28105,"Starkville, MS",Town,76.0,60.0,64.7,0.5,23.9,22657.0,18230.0,52.0,72.0,15.0,4.0,2.0,1.0,0.0,2.0,1.0,4.0,0.287729892945375,0.73,46795.0,31606.377710016488,1.48,0.68,0.71,0.236354220611082,0.16,0.04,0.02,0.75,15910.0,15910.0,,9665.0,26430.0,22142.0,0.4058,299415.0,1260,25.0,23.5,minority,a-range,NCAA,NCAA Division I-FBS,"Baseball, Basketball, Track & Field, Football, Golf, Soccer, Softball, Tennis, Volleyball",,Mississippi,0.5851
187985,University of New Mexico-Main Campus,Albuquerque,NM,6,Mixed Undergraduate/Graduate-Doctorate Large,4,"Higher Access, Medium Earnings",1,Research 1: Very High Spending and Doctorate Production,15,1,Public,3,Residential,4,Large,Doctorate,0,1,0,0,2,0,0,0,0,1,0,-106.620155,35.083868,www.unm.edu/,35001,"Albuquerque, NM",City,95.0,53.0,55.5,1.6,14.2,22700.0,16905.0,57.0,31.0,3.0,46.0,4.0,6.0,0.0,4.0,2.0,5.0,0.368693650489162,0.88,41307.0,29195.904007220397,1.41,1.16,1.02,0.661391262486461,0.03,0.52,0.04,0.29,13873.0,13873.0,,6803.0,25139.0,18450.0,0.4933,326585.3333333333,1030,22.5,29.3,minority,b-range,NCAA,NCAA Division I-FBS,"Baseball, Basketball, Track & Field, Football, Golf, Soccer, Softball, Swimming and Diving, Tennis, Volleyball",,New Mexico,0.8043
199148,University of North Carolina at Greensboro,Greensboro,NC,6,Mixed Undergraduate/Graduate-Doctorate Large,4,"Higher Access, Medium Earnings",2,Research 2: High Spending and Doctorate Production,16,1,Public,2,Primarily residential,4,Large,Doctorate,0,0,0,0,2,0,0,0,0,0,1,-79.809414,36.068236,www.uncg.edu/,37081,"Greensboro-High Point, NC",City,90.0,58.0,59.4,0.7,23.8,17743.0,14156.0,67.0,41.0,28.0,14.0,5.0,0.0,0.0,5.0,2.0,4.0,0.4814601067667,1.21,44972.0,32971.36345120642,1.36,1.52,1.36,0.523738368539021,0.31,0.16,0.06,0.42,10907.0,10907.0,,4422.0,20168.0,22858.0,0.4847,40952.333333333336,1190,24.5,23.5,minority,b-plus,NCAA,NCAA Division I without football,"Baseball, Basketball, Track & Field, Golf, Soccer, Softball, Tennis, Volleyball",,North Carolina,0.9408
