School_Name,URL
"Williams College",https://www.usnews.com/best-colleges/williams-college-2229
"Amherst College",https://www.usnews.com/best-colleges/amherst-college-2115
"United States Naval Academy",https://www.usnews.com/best-colleges/united-states-naval-academy-2101
"Swarthmore College",https://www.usnews.com/best-colleges/swarthmore-college-3370
"Bowdoin College",https://www.usnews.com/best-colleges/bowdoin-college-2038
"United States Air Force Academy",https://www.usnews.com/best-colleges/united-states-air-force-academy-1369
"Claremont McKenna College",https://www.usnews.com/best-colleges/claremont-mckenna-college-1170
"Pomona College",https://www.usnews.com/best-colleges/pomona-college-1173
"Wellesley College",https://www.usnews.com/best-colleges/wellesley-college-2224
"Carleton College",https://www.usnews.com/best-colleges/carleton-college-2340
"Harvey Mudd College",https://www.usnews.com/best-colleges/harvey-mudd-college-1171
"United States Military Academy at West Point",https://www.usnews.com/best-colleges/west-point-2893
"Barnard College",https://www.usnews.com/best-colleges/barnard-college-2708
"Davidson College",https://www.usnews.com/best-colleges/davidson-college-2918
"Grinnell College",https://www.usnews.com/best-colleges/grinnell-college-1868
"Hamilton College",https://www.usnews.com/best-colleges/hamilton-college-2728
"Middlebury College",https://www.usnews.com/best-colleges/middlebury-college-3691
"Smith College",https://www.usnews.com/best-colleges/smith-college-2209
"Vassar College",https://www.usnews.com/best-colleges/vassar-college-2895
"Wesleyan University",https://www.usnews.com/best-colleges/wesleyan-university-1424
"Washington and Lee University",https://www.usnews.com/best-colleges/washington-and-lee-3768
"Colgate University",https://www.usnews.com/best-colleges/colgate-university-2701
"University of Richmond",https://www.usnews.com/best-colleges/university-of-richmond-3744
"Bates College",https://www.usnews.com/best-colleges/bates-college-2036
"Colby College",https://www.usnews.com/best-colleges/colby-college-2039
"Haverford College",https://www.usnews.com/best-colleges/haverford-college-3274
"College of the Holy Cross",https://www.usnews.com/best-colleges/college-of-the-holy-cross-2141
"Macalester College",https://www.usnews.com/best-colleges/macalester-college-2358
"Mount Holyoke College",https://www.usnews.com/best-colleges/mount-holyoke-college-2192
"Bryn Mawr College",https://www.usnews.com/best-colleges/bryn-mawr-college-3237
"Bucknell University",https://www.usnews.com/best-colleges/bucknell-university-3238
"Colorado College",https://www.usnews.com/best-colleges/colorado-college-1347
"Lafayette College",https://www.usnews.com/best-colleges/lafayette-college-3284
"Denison University",https://www.usnews.com/best-colleges/denison-university-3042
"Franklin & Marshall College",https://www.usnews.com/best-colleges/franklin--marshall-college-3265
"Occidental College",https://www.usnews.com/best-colleges/occidental-college-1249
"Pitzer College",https://www.usnews.com/best-colleges/pitzer-college-1172
"Scripps College",https://www.usnews.com/best-colleges/scripps-college-1174
"Skidmore College",https://www.usnews.com/best-colleges/skidmore-college-2814
"Soka University of America",https://www.usnews.com/best-colleges/soka-university-of-america-38144
"Spelman College",https://www.usnews.com/best-colleges/spelman-college-1594
"Trinity College",https://www.usnews.com/best-colleges/trinity-college-1414
"Trinity University",https://www.usnews.com/best-colleges/trinity-university-3647
"Union College",https://www.usnews.com/best-colleges/union-college-2889
"Berea College",https://www.usnews.com/best-colleges/berea-college-1955
"Dickinson College",https://www.usnews.com/best-colleges/dickinson-college-3253
"Furman University",https://www.usnews.com/best-colleges/furman-university-3434
"Kenyon College",https://www.usnews.com/best-colleges/kenyon-college-3065
"The University of the South",https://www.usnews.com/best-colleges/the-university-of-the-south-3534
"Connecticut College",https://www.usnews.com/best-colleges/connecticut-college-1379
"Hillsdale College",https://www.usnews.com/best-colleges/hillsdale-college-2272
"St. Olaf College",https://www.usnews.com/best-colleges/st-olaf-college-2382
"Wabash College",https://www.usnews.com/best-colleges/wabash-college-1844
"Wheaton College (IL)",https://www.usnews.com/best-colleges/wheaton-college-il-1781
"Centre College",https://www.usnews.com/best-colleges/centre-college-1961
"Rhodes College",https://www.usnews.com/best-colleges/rhodes-college-3519
"Thomas Aquinas College",https://www.usnews.com/best-colleges/thomas-aquinas-college-10448
"DePauw University",https://www.usnews.com/best-colleges/depauw-university-1792
"Gettysburg College",https://www.usnews.com/best-colleges/gettysburg-college-3268
"Oberlin College",https://www.usnews.com/best-colleges/oberlin-college-3086
"St. Lawrence University",https://www.usnews.com/best-colleges/st-lawrence-university-2829
"Whitman College",https://www.usnews.com/best-colleges/whitman-college-3803
"Principia College",https://www.usnews.com/best-colleges/principia-college-1744
"Reed College",https://www.usnews.com/best-colleges/reed-college-3217
"Lawrence University",https://www.usnews.com/best-colleges/lawrence-university-3856
"Virginia Military Institute",https://www.usnews.com/best-colleges/virginia-military-institute-3753
"Agnes Scott College",https://www.usnews.com/best-colleges/agnes-scott-college-1542
