School_Name,URL
"Princeton University",https://www.usnews.com/best-colleges/princeton-university-2627
"Massachusetts Institute of Technology",https://www.usnews.com/best-colleges/massachusetts-institute-of-technology-2178
"Harvard University",https://www.usnews.com/best-colleges/harvard-university-2155
"Stanford University",https://www.usnews.com/best-colleges/stanford-university-1305
"Yale University",https://www.usnews.com/best-colleges/yale-university-1426
"University of Chicago",https://www.usnews.com/best-colleges/university-of-chicago-1774
"Duke University",https://www.usnews.com/best-colleges/duke-university-2920
"Johns Hopkins University",https://www.usnews.com/best-colleges/jhu-2077
"Northwestern University",https://www.usnews.com/best-colleges/northwestern-university-1739
"University of Pennsylvania",https://www.usnews.com/best-colleges/university-of-pennsylvania-3378
"California Institute of Technology",https://www.usnews.com/best-colleges/california-institute-of-technology-1131
"Cornell University",https://www.usnews.com/best-colleges/cornell-university-2711
"Brown University",https://www.usnews.com/best-colleges/brown-university-3401
"Dartmouth College",https://www.usnews.com/best-colleges/dartmouth-college-2573
"Columbia University",https://www.usnews.com/best-colleges/columbia-university-2707
"University of California, Berkeley",https://www.usnews.com/best-colleges/university-of-california-berkeley-1312
"Rice University",https://www.usnews.com/best-colleges/rice-3604
"University of California, Los Angeles",https://www.usnews.com/best-colleges/ucla-1315
"Vanderbilt University",https://www.usnews.com/best-colleges/vanderbilt-3535
"Carnegie Mellon University",https://www.usnews.com/best-colleges/carnegie-mellon-university-3242
"University of Michigan--Ann Arbor",https://www.usnews.com/best-colleges/university-of-michigan-ann-arbor-9092
"University of Notre Dame",https://www.usnews.com/best-colleges/university-of-notre-dame-1840
"Washington University in St. Louis",https://www.usnews.com/best-colleges/washington-university-in-st-louis-2520
"Emory University",https://www.usnews.com/best-colleges/emory-university-1564
"Georgetown University",https://www.usnews.com/best-colleges/georgetown-university-1445
"University of North Carolina--Chapel Hill",https://www.usnews.com/best-colleges/university-of-north-carolina-chapel-hill-2974
"University of Virginia",https://www.usnews.com/best-colleges/uva-6968
"University of Southern California",https://www.usnews.com/best-colleges/university-of-southern-california-1328
"University of California San Diego",https://www.usnews.com/best-colleges/university-of-california-san-diego-1317
"University of Florida",https://www.usnews.com/best-colleges/university-of-florida-1535
"The University of Texas--Austin",https://www.usnews.com/best-colleges/the-university-of-texas-austin-3658
"Georgia Institute of Technology",https://www.usnews.com/best-colleges/georgia-institute-of-technology-1569
"New York University",https://www.usnews.com/best-colleges/nyu-2785
"University of California, Davis",https://www.usnews.com/best-colleges/university-of-california-davis-1313
"University of California, Irvine",https://www.usnews.com/best-colleges/university-of-california-irvine-1314
"Boston College",https://www.usnews.com/best-colleges/boston-college-2128
"Tufts University",https://www.usnews.com/best-colleges/tufts-university-2219
"University of Illinois Urbana-Champaign",https://www.usnews.com/best-colleges/university-of-illinois-urbanachampaign-1775
"University of Wisconsin--Madison",https://www.usnews.com/best-colleges/university-of-wisconsin-3895
"University of California, Santa Barbara",https://www.usnews.com/best-colleges/university-of-california-santa-barbara-1320
"The Ohio State University",https://www.usnews.com/best-colleges/ohio-state-6883
"Boston University",https://www.usnews.com/best-colleges/boston-university-2130
"Rutgers University--New Brunswick",https://www.usnews.com/best-colleges/rutgers-new-brunswick-6964
"University of Maryland, College Park",https://www.usnews.com/best-colleges/university-of-maryland-2103
"University of Washington",https://www.usnews.com/best-colleges/university-of-washington-3798
"Lehigh University",https://www.usnews.com/best-colleges/lehigh-university-3289
"Northeastern University",https://www.usnews.com/best-colleges/northeastern-university-2199
"Purdue University--Main Campus",https://www.usnews.com/best-colleges/purdue-university-west-lafayette-1825
"University of Georgia",https://www.usnews.com/best-colleges/university-of-georgia-1598
"University of Rochester",https://www.usnews.com/best-colleges/university-of-rochester-2894
"Case Western Reserve University",https://www.usnews.com/best-colleges/case-western-reserve-university-3024
"Florida State University",https://www.usnews.com/best-colleges/florida-state-university-1489
"Texas A&M University",https://www.usnews.com/best-colleges/texas-am-university-college-station-10366
"Virginia Tech",https://www.usnews.com/best-colleges/virginia-tech-3754
"Wake Forest University",https://www.usnews.com/best-colleges/wake-forest-2978
"William & Mary",https://www.usnews.com/best-colleges/william-and-mary-3705
"University of California, Merced",https://www.usnews.com/best-colleges/university-of-california-merced-4127
"Villanova University",https://www.usnews.com/best-colleges/villanova-3388
"George Washington University",https://www.usnews.com/best-colleges/george-washington-university-1444
"The Pennsylvania State University--University Park",https://www.usnews.com/best-colleges/penn-state-6965
"Santa Clara University",https://www.usnews.com/best-colleges/santa-clara-university-1326
"Stony Brook University--SUNY",https://www.usnews.com/best-colleges/stony-brook-suny-2838
"University of Minnesota--Twin Cities",https://www.usnews.com/best-colleges/university-of-minnesota-twin-cities-3969
"Michigan State University",https://www.usnews.com/best-colleges/michigan-state-2290
"North Carolina State University",https://www.usnews.com/best-colleges/north-carolina-state-raleigh-2972
"Rensselaer Polytechnic Institute",https://www.usnews.com/best-colleges/rpi-2803
"University of Massachusetts--Amherst",https://www.usnews.com/best-colleges/umass-amherst-2221
"University of Miami",https://www.usnews.com/best-colleges/university-of-miami-1536
"Brandeis University",https://www.usnews.com/best-colleges/brandeis-university-2133
"Tulane University of Louisiana",https://www.usnews.com/best-colleges/tulane-university-of-louisiana-2029
"University of Connecticut",https://www.usnews.com/best-colleges/uconn-29013
"University of Pittsburgh",https://www.usnews.com/best-colleges/university-of-pittsburgh-3379
"Binghamton University--SUNY",https://www.usnews.com/best-colleges/suny-binghamton-2836
"Indiana University--Bloomington",https://www.usnews.com/best-colleges/indiana-university-bloomington-1809
"Clemson University",https://www.usnews.com/best-colleges/clemson-university-3425
"Rutgers University--Newark",https://www.usnews.com/best-colleges/rutgers-university-newark-2631
"Syracuse University",https://www.usnews.com/best-colleges/syracuse-university-2882
"University at Buffalo--SUNY",https://www.usnews.com/best-colleges/ub-9554
"University of California, Riverside",https://www.usnews.com/best-colleges/university-of-california-riverside-1316
"Colorado School of Mines",https://www.usnews.com/best-colleges/colorado-school-of-mines-1348
"Drexel University",https://www.usnews.com/best-colleges/drexel-university-3256
"New Jersey Institute of Technology",https://www.usnews.com/best-colleges/njit-2621
"Stevens Institute of Technology",https://www.usnews.com/best-colleges/stevens-institute-of-technology-2639
"Pepperdine University",https://www.usnews.com/best-colleges/pepperdine-university-1264
"University of Illinois Chicago",https://www.usnews.com/best-colleges/university-of-illinois-chicago-1776
"Worcester Polytechnic Institute",https://www.usnews.com/best-colleges/wpi-2233
"Yeshiva University",https://www.usnews.com/best-colleges/yeshiva-university-2903
"American University",https://www.usnews.com/best-colleges/american-university-1434
"Baylor University",https://www.usnews.com/best-colleges/baylor-university-6967
"Howard University",https://www.usnews.com/best-colleges/howard-university-1448
"Marquette University",https://www.usnews.com/best-colleges/marquette-university-3863
"Rochester Institute of Technology",https://www.usnews.com/best-colleges/rit-2806
"Southern Methodist University",https://www.usnews.com/best-colleges/smu-3613
"University of California, Santa Cruz",https://www.usnews.com/best-colleges/university-of-california-santa-cruz-1321
"University of Delaware",https://www.usnews.com/best-colleges/university-of-delaware-1431
"University of South Florida",https://www.usnews.com/best-colleges/university-of-south-florida-1537
"Florida International University",https://www.usnews.com/best-colleges/fiu-9635
"Fordham University",https://www.usnews.com/best-colleges/fordham-university-2722
"Rutgers University--Camden",https://www.usnews.com/best-colleges/rutgers-university-camden-4741
"Texas Christian University",https://www.usnews.com/best-colleges/texas-christian-university-3636
"University of Colorado Boulder",https://www.usnews.com/best-colleges/university-of-colorado-boulder-1370
"Auburn University",https://www.usnews.com/best-colleges/auburn-university-1009
"Gonzaga University",https://www.usnews.com/best-colleges/gonzaga-university-3778
"Loyola Marymount University",https://www.usnews.com/best-colleges/loyola-marymount-university-11649
"Saint Louis University",https://www.usnews.com/best-colleges/saint-louis-university-2506
"Temple University",https://www.usnews.com/best-colleges/temple-university-3371
"University of Iowa",https://www.usnews.com/best-colleges/university-of-iowa-1892
"University of Missouri",https://www.usnews.com/best-colleges/university-of-missouri-2516
"University of Tennessee--Knoxville",https://www.usnews.com/best-colleges/university-of-tennessee-knoxville-3530
"Brigham Young University",https://www.usnews.com/best-colleges/byu-3670
"Chapman University",https://www.usnews.com/best-colleges/chapman-university-1164
"The University of Oklahoma",https://www.usnews.com/best-colleges/the-university-of-oklahoma-3184
"University of Oregon",https://www.usnews.com/best-colleges/university-of-oregon-3223
"University of San Diego",https://www.usnews.com/best-colleges/university-of-san-diego-10395
"University of San Francisco",https://www.usnews.com/best-colleges/university-of-san-francisco-1325
"The University of Texas--Dallas",https://www.usnews.com/best-colleges/the-university-of-texas-dallas-9741
"Arizona State University",https://www.usnews.com/best-colleges/arizona-state-university-1081
"Creighton University",https://www.usnews.com/best-colleges/creighton-university-2542
"Elon University",https://www.usnews.com/best-colleges/elon-university-2927
"George Mason University",https://www.usnews.com/best-colleges/gmu-3749
"Illinois Institute of Technology",https://www.usnews.com/best-colleges/illinois-institute-of-technology-1691
"Iowa State University of Science and Technology",https://www.usnews.com/best-colleges/iowa-state-university-1869
"San Diego State University",https://www.usnews.com/best-colleges/san-diego-state-university-1151
"University of Central Florida",https://www.usnews.com/best-colleges/ucf-3954
"University of Denver",https://www.usnews.com/best-colleges/university-of-denver-1371
