School_Name,URL
"Ohio Northern University",https://www.usnews.com/best-colleges/ohio-northern-university-3089
"Illinois Wesleyan University",https://www.usnews.com/best-colleges/illinois-wesleyan-university-1696
"College of the Ozarks",https://www.usnews.com/best-colleges/college-ozarks-2500
"Taylor University",https://www.usnews.com/best-colleges/taylor-university-1838
"Simpson College",https://www.usnews.com/best-colleges/simpson-college-1887
"Alma College",https://www.usnews.com/best-colleges/alma-college-2236
"Benedictine College",https://www.usnews.com/best-colleges/benedictine-college-10256
"Loras College",https://www.usnews.com/best-colleges/loras-college-1873
"Cottey College",https://www.usnews.com/best-colleges/cottey-college-666970
"Hiram College",https://www.usnews.com/best-colleges/hiram-college-3049
"Goshen College",https://www.usnews.com/best-colleges/goshen-college-1799
"William Jewell College",https://www.usnews.com/best-colleges/william-jewell-college-2524
"Trine University",https://www.usnews.com/best-colleges/trine-university-1839
"University of Minnesota Crookston",https://www.usnews.com/best-colleges/university-of-minnesota-crookston-4069
"Marietta College",https://www.usnews.com/best-colleges/marietta-college-3073
"Millikin University",https://www.usnews.com/best-colleges/millikin-university-1724
"Valley City State University",https://www.usnews.com/best-colleges/valley-city-state-3008
"Central Methodist University -- College of Liberal Arts and Sciences",https://www.usnews.com/best-colleges/central-methodist-university-2453
"Lake Superior State University",https://www.usnews.com/best-colleges/lake-superior-state-university-2293
"McPherson College",https://www.usnews.com/best-colleges/mcpherson-college-1933
"North Central University",https://www.usnews.com/best-colleges/north-central-university-2369
"Wisconsin Lutheran College",https://www.usnews.com/best-colleges/wisconsin-lutheran-21366
"Blackburn College",https://www.usnews.com/best-colleges/blackburn-college-1639
"Hastings College",https://www.usnews.com/best-colleges/hastings-2548
"Bethel College",https://www.usnews.com/best-colleges/bethel-college-1905
"Trinity Christian College",https://www.usnews.com/best-colleges/trinity-christian-college-1771
"Union Adventist University",https://www.usnews.com/best-colleges/union-adventist-university-2563
"Culver-Stockton College",https://www.usnews.com/best-colleges/culver-stockton-college-2460
"Dakota Wesleyan University",https://www.usnews.com/best-colleges/dakota-wesleyan-3461
"Adrian College",https://www.usnews.com/best-colleges/adrian-college-2234
"Dunwoody College of Technology",https://www.usnews.com/best-colleges/dunwoody-college-of-technology-4641
"Bismarck State College",https://www.usnews.com/best-colleges/bismarck-state-college-2988
"Wilmington College",https://www.usnews.com/best-colleges/wilmington-college-3142
"Northwestern Michigan College",https://www.usnews.com/best-colleges/northwestern-michigan-college-666969
"Quincy University",https://www.usnews.com/best-colleges/quincy-university-1745
"Emmaus Bible College",https://www.usnews.com/best-colleges/emmaus-bible-college-23289
"Kansas Wesleyan University",https://www.usnews.com/best-colleges/kansas-wesleyan-university-1929
"Bluffton University",https://www.usnews.com/best-colleges/bluffton-university-3016
"Tabor College",https://www.usnews.com/best-colleges/tabor-college-1946
"Ottawa University",https://www.usnews.com/best-colleges/ottawa-university-1937
"Dickinson State University",https://www.usnews.com/best-colleges/dickinson-state-university-2989
"Southwestern College",https://www.usnews.com/best-colleges/southwestern-college-1940
"Eureka College",https://www.usnews.com/best-colleges/eureka-college-1678
"Defiance College",https://www.usnews.com/best-colleges/defiance-college-3041
"The University of Olivet",https://www.usnews.com/best-colleges/olivet-2308
"Bethany College (KS)",https://www.usnews.com/best-colleges/bethany-college-kansas-1904
"York University",https://www.usnews.com/best-colleges/york-university-2567
"Faith Baptist Bible College and Theological Seminary",https://www.usnews.com/best-colleges/faith-baptist-bible-college-and-theological-seminary-7121
"Mayville State University",https://www.usnews.com/best-colleges/mayville-state-university-2993
"Sterling College (KS)",https://www.usnews.com/best-colleges/sterling-college-kansas-1945
"Lincoln University (MO)",https://www.usnews.com/best-colleges/lincoln-university-missouri-2479
"Wilberforce University",https://www.usnews.com/best-colleges/wilberforce-university-3141
"Barclay College",https://www.usnews.com/best-colleges/barclay-college-667123
"Grace Christian University",https://www.usnews.com/best-colleges/grace-christian-university-2265
"William Penn University",https://www.usnews.com/best-colleges/william-penn-university-1900
"Miami University--Middletown",https://www.usnews.com/best-colleges/miami-university-middletown-315381
"University of Northwestern Ohio",https://www.usnews.com/best-colleges/northwestern-ohio-4861
"Hannibal-LaGrange University",https://www.usnews.com/best-colleges/hannibal-lagrange-9089
"Wright State University--Lake Campus",https://www.usnews.com/best-colleges/wright-state-university--lake-campus-146066
"Calvary University",https://www.usnews.com/best-colleges/calvary-university-2450
"Kuyper College",https://www.usnews.com/best-colleges/kuyper-college-2311
"Miami University--Hamilton",https://www.usnews.com/best-colleges/miami-university-hamilton-162743
"University of Rio Grande",https://www.usnews.com/best-colleges/university-of-rio-grande-3116
"Rochester Christian University",https://www.usnews.com/best-colleges/rochester-university-2288
"Ohio State University--Lima",https://www.usnews.com/best-colleges/ohio-state-university-lima-3092
"Harris-Stowe State University",https://www.usnews.com/best-colleges/harris-stowe-state-2466
"Ohio State University--Marion",https://www.usnews.com/best-colleges/ohio-state-university-marion-3094
"St. Augustine College",https://www.usnews.com/best-colleges/st-augustine-college-21854
"Great Lakes Christian College",https://www.usnews.com/best-colleges/great-lakes-christian-college-2269
"Vincennes University",https://www.usnews.com/best-colleges/vincennes-university-1843
