School_Name,URL
"High Point University",https://www.usnews.com/best-colleges/high-point-university-2933
"Florida Polytechnic University",https://www.usnews.com/best-colleges/florida-polytechnic-university-506094
"Flagler College",https://www.usnews.com/best-colleges/flagler-7893
"Catawba College",https://www.usnews.com/best-colleges/catawba-college-2914
"Wesleyan College",https://www.usnews.com/best-colleges/wesleyan-college-1600
"University of the Ozarks",https://www.usnews.com/best-colleges/university-of-the-ozarks-1094
"University of South Carolina--Upstate",https://www.usnews.com/best-colleges/university-of-south-carolina-upstate-6951
"Huntingdon College",https://www.usnews.com/best-colleges/huntingdon-college-1019
"Elizabeth City State University",https://www.usnews.com/best-colleges/elizabeth-city-state-university-2926
"LaGrange College",https://www.usnews.com/best-colleges/lagrange-college-1578
"Tennessee Wesleyan University",https://www.usnews.com/best-colleges/tennessee-wesleyan-college-3525
"Belmont Abbey College",https://www.usnews.com/best-colleges/belmont-abbey-2910
"Lander University",https://www.usnews.com/best-colleges/lander-university-3435
"Lees-McRae College",https://www.usnews.com/best-colleges/lees-mcrae-college-2939
"Spring Hill College",https://www.usnews.com/best-colleges/spring-hill-college-1041
"Blue Mountain Christian University",https://www.usnews.com/best-colleges/blue-mountain-college-2398
"Miami Dade College",https://www.usnews.com/best-colleges/miami-dade-college-1506
"Newberry College",https://www.usnews.com/best-colleges/newberry-college-3440
"University of Arkansas--Pine Bluff",https://www.usnews.com/best-colleges/university-of-arkansas-pine-bluff-1086
"University of Puerto Rico--Arecibo",https://www.usnews.com/best-colleges/university-of-puerto-rico-arecibo-7228
"Barton College",https://www.usnews.com/best-colleges/barton-college-2908
"Beacon College",https://www.usnews.com/best-colleges/beacon-college-33733
"Kentucky Wesleyan College",https://www.usnews.com/best-colleges/kentucky-wesleyan-college-1969
"University of Arkansas--Fort Smith",https://www.usnews.com/best-colleges/university-of-arkansas---fort-smith-1110
"University of Puerto Rico--Humacao",https://www.usnews.com/best-colleges/university-of-puerto-rico-humacao-3943
"William Peace University",https://www.usnews.com/best-colleges/william-peace-university-2953
"Davis and Elkins College",https://www.usnews.com/best-colleges/davis-and-elkins-college-3811
"Mars Hill University",https://www.usnews.com/best-colleges/mars-hill-college-2944
"West Virginia Wesleyan College",https://www.usnews.com/best-colleges/west-virginia-wesleyan-3830
"Brescia University",https://www.usnews.com/best-colleges/brescia-university-1958
"Brevard College",https://www.usnews.com/best-colleges/brevard-college-2912
"Welch College",https://www.usnews.com/best-colleges/welch-college-30018
"Alice Lloyd College",https://www.usnews.com/best-colleges/alice-lloyd-college-1951
"Johnson & Wales University--Charlotte",https://www.usnews.com/best-colleges/johnson--wales-university-charlotte-108847
"North Carolina Wesleyan University",https://www.usnews.com/best-colleges/north-carolina-wesleyan-university-2951
"Kentucky State University",https://www.usnews.com/best-colleges/kentucky-state-university-1968
"Pontifical Catholic University of Puerto Rico--Mayaguez",https://www.usnews.com/best-colleges/pontifical-catholic-university-of-puerto-rico-mayaguez-985213
"Baptist University of Florida",https://www.usnews.com/best-colleges/baptist-college-of-florida-21596
"Dalton State College",https://www.usnews.com/best-colleges/dalton-state-college-3956
"Reinhardt University",https://www.usnews.com/best-colleges/reinhardt-university-1589
"University of Puerto Rico--Ponce",https://www.usnews.com/best-colleges/university-of-puerto-rico-ponce-9652
"University of South Carolina--Beaufort",https://www.usnews.com/best-colleges/university-of-south-carolina-beaufort-3450
"Mid-Atlantic Christian University",https://www.usnews.com/best-colleges/midatlantic-christian-university-22809
"Philander Smith College",https://www.usnews.com/best-colleges/philander-smith-college-1103
"Toccoa Falls College",https://www.usnews.com/best-colleges/toccoa-falls-college-1596
"Florida College",https://www.usnews.com/best-colleges/florida-college-1482
"Louisiana State University--Alexandria",https://www.usnews.com/best-colleges/louisiana-state-university-alexandria-2011
"West Virginia University Institute of Technology",https://www.usnews.com/best-colleges/west-virginia-university-institute-of-technology-3825
"Williams Baptist University",https://www.usnews.com/best-colleges/williams-baptist-university-1106
"Abraham Baldwin Agricultural College",https://www.usnews.com/best-colleges/abraham-baldwin-agricultural-college-1541
"Bluefield State University",https://www.usnews.com/best-colleges/bluefield-state-university-3809
"Erskine College",https://www.usnews.com/best-colleges/erskine-college-3432
"University of Puerto Rico--Aguadilla",https://www.usnews.com/best-colleges/university-of-puerto-rico-aguadilla-12123
"Georgia Gwinnett College",https://www.usnews.com/best-colleges/georgia-gwinnett-college-41429
"Montreat College",https://www.usnews.com/best-colleges/montreat-college-2948
"Truett McConnell University",https://www.usnews.com/best-colleges/truett-mcconnell-university-1597
"University of Puerto Rico--Carolina",https://www.usnews.com/best-colleges/university-of-puerto-rico-carolina-348278
"University of Tennessee Southern",https://www.usnews.com/best-colleges/the-university-of-tennessee-southern-3504
"Glenville State University",https://www.usnews.com/best-colleges/glenville-state-college-3813
"Ferrum College",https://www.usnews.com/best-colleges/ferrum-college-3711
"Talladega College",https://www.usnews.com/best-colleges/talladega-college-1046
"Central Baptist College",https://www.usnews.com/best-colleges/central-baptist-college-1093
"Emmanuel University",https://www.usnews.com/best-colleges/emmanuel-college-georgia-1563
"Kentucky Christian University",https://www.usnews.com/best-colleges/kentucky-christian-university-1965
"Point University",https://www.usnews.com/best-colleges/point-university-1547
"Voorhees University",https://www.usnews.com/best-colleges/voorhees-college-3455
"Chowan University",https://www.usnews.com/best-colleges/chowan-university-2916
"College of Coastal Georgia",https://www.usnews.com/best-colleges/college-of-coastal-georgia-1558
"Edward Waters University",https://www.usnews.com/best-colleges/edward-waters-university-1478
"Livingstone College",https://www.usnews.com/best-colleges/livingstone-college-2942
"Crowley's Ridge College",https://www.usnews.com/best-colleges/crowleys-ridge-college-666944
"Inter American University of Puerto Rico--Guayama",https://www.usnews.com/best-colleges/inter-american-university-of-puerto-rico-guayama-22827
"Inter American University of Puerto Rico--Fajardo",https://www.usnews.com/best-colleges/inter-american-university-of-puerto-rico-fajardo-22828
"LeMoyne-Owen College",https://www.usnews.com/best-colleges/lemoyne-owen-college-3501
"Inter American University of Puerto Rico--Barranquitas",https://www.usnews.com/best-colleges/inter-american-university-of-puerto-rico-barranquitas-5027
"Florida Memorial University",https://www.usnews.com/best-colleges/florida-memorial-university-1486
"Inter American University of Puerto Rico--Bayamon",https://www.usnews.com/best-colleges/inter-american-university-of-puerto-rico-bayamon-5028
"Stillman College",https://www.usnews.com/best-colleges/stillman-college-1044
"University of Puerto Rico--Bayamon",https://www.usnews.com/best-colleges/university-of-puerto-rico-bayamon-10975
"Benedict College",https://www.usnews.com/best-colleges/benedict-3420
"Webber International University",https://www.usnews.com/best-colleges/webber-international-university-1540
"Inter American University of Puerto Rico--Ponce",https://www.usnews.com/best-colleges/inter-american-university-of-puerto-rico-ponce-5029
"Miles College",https://www.usnews.com/best-colleges/miles-college-1028
"Morris College",https://www.usnews.com/best-colleges/morris-college-3439
"Shaw University",https://www.usnews.com/best-colleges/shaw-university-2962
"University of Puerto Rico--Utuado",https://www.usnews.com/best-colleges/university-of-puerto-rico-utuado-667020
"Arkansas Baptist College",https://www.usnews.com/best-colleges/arkansas-baptist-college-1087
"Brewton-Parker College",https://www.usnews.com/best-colleges/brewtonparker-college-1557
"Caribbean University--Carolina",https://www.usnews.com/best-colleges/caribbean-university-carolina-421606
"Caribbean University--Ponce",https://www.usnews.com/best-colleges/caribbean-university-ponce-875850
"Colegio Universitario de San Juan",https://www.usnews.com/best-colleges/colegio-universitario-de-san-juan-667011
"East Georgia State College",https://www.usnews.com/best-colleges/east-georgia-state-college-666964
"EDP University of Puerto Rico Inc--San Juan",https://www.usnews.com/best-colleges/edp-university-of-puerto-rico-inc-san-juan-667012
"Gordon State College",https://www.usnews.com/best-colleges/gordon-state-college-1575
"Herzing University-Atlanta",https://www.usnews.com/best-colleges/herzing-universityatlanta-415197
"Saint Augustine's University",https://www.usnews.com/best-colleges/saint-augustines-college-2968
"Atlanta Metropolitan State College",https://www.usnews.com/best-colleges/atlanta-metropolitan-state-college-666963
"Broward College",https://www.usnews.com/best-colleges/broward-college-666949
"Bryant & Stratton College -- Virginia Beach",https://www.usnews.com/best-colleges/bryant--stratton-college---virginia-beach-992952
"Chipola College",https://www.usnews.com/best-colleges/chipola-college-1472
