School_Name,URL
"Embry-Riddle Aeronautical University--Prescott",https://www.usnews.com/best-colleges/embry-riddle-prescott-666090
"California State University--Maritime Academy",https://www.usnews.com/best-colleges/california-state-university-maritime-academy-1134
"Carroll College",https://www.usnews.com/best-colleges/carroll-college-2526
"Oregon Institute of Technology",https://www.usnews.com/best-colleges/oregon-institute-of-technology-3211
"College of Idaho",https://www.usnews.com/best-colleges/college-of-idaho-1617
"Warner Pacific University",https://www.usnews.com/best-colleges/warner-pacific-3225
"John Paul the Great Catholic University",https://www.usnews.com/best-colleges/john-paul-the-great-catholic-university-666990
"Brigham Young University--Hawaii",https://www.usnews.com/best-colleges/brigham-young-university-hawaii-1606
"Brigham Young University--Idaho",https://www.usnews.com/best-colleges/brigham-young-university-idaho-1625
"Texas Lutheran University",https://www.usnews.com/best-colleges/texas-lutheran-university-3641
"University of Hawaii--West Oahu",https://www.usnews.com/best-colleges/university-of-hawaii-west-oahu-21078
"Pacific Union College",https://www.usnews.com/best-colleges/pacific-union-college-1258
"Life Pacific University",https://www.usnews.com/best-colleges/life-pacific-university-12630
"Colorado Mesa University",https://www.usnews.com/best-colleges/colorado-mesa-university-1358
"McMurry University",https://www.usnews.com/best-colleges/mcmurry-university-3591
"University of Montana Western",https://www.usnews.com/best-colleges/montana-western-2537
"Fort Lewis College",https://www.usnews.com/best-colleges/fort-lewis-college-1353
"Southwestern Adventist University",https://www.usnews.com/best-colleges/southwestern-adventist-university-3619
"University of Silicon Valley",https://www.usnews.com/best-colleges/university-of-silicon-valley-1177
"Huston-Tillotson University",https://www.usnews.com/best-colleges/huston-tillotson-3577
"Howard Payne University",https://www.usnews.com/best-colleges/howard-payne-university-3575
"Montana State University Northern",https://www.usnews.com/best-colleges/montana-state-northern-2533
"University of Advancing Technology",https://www.usnews.com/best-colleges/university-of-advancing-technology-25590
"Lewis-Clark State College",https://www.usnews.com/best-colleges/lewisclark-state-college-1621
"Nevada State University",https://www.usnews.com/best-colleges/nevada-state-university-41143
"Arizona Christian University",https://www.usnews.com/best-colleges/arizona-christian-university-7113
"Northern New Mexico College",https://www.usnews.com/best-colleges/northern-new-mexico-college-20839
"Oklahoma Panhandle State University",https://www.usnews.com/best-colleges/oklahoma-panhandle-state-3174
"Rocky Mountain College of Art and Design",https://www.usnews.com/best-colleges/rocky-mountain-college-of-art-and-design-7649
"Rogers State University",https://www.usnews.com/best-colleges/rogers-state-university-3168
"Snow College",https://www.usnews.com/best-colleges/snow-college-666994
"Alaska Pacific University",https://www.usnews.com/best-colleges/alaska-pacific-university-1061
"Wiley College",https://www.usnews.com/best-colleges/wiley-college-3669
"Utah Tech University",https://www.usnews.com/best-colleges/utah-tech-university-3671
"Northern Marianas College",https://www.usnews.com/best-colleges/northern-marianas-college-667045
"Colorado Mountain College",https://www.usnews.com/best-colleges/colorado-mountain-college-666946
"Jarvis Christian University",https://www.usnews.com/best-colleges/jarvis-christian-university-3637
"Great Basin College",https://www.usnews.com/best-colleges/great-basin-college-6977
"South Texas College",https://www.usnews.com/best-colleges/south-texas-college-31034
"Southwestern Christian University",https://www.usnews.com/best-colleges/southwestern-christian-university-3180
"Texas College",https://www.usnews.com/best-colleges/texas-college-3638
"Antelope Valley College",https://www.usnews.com/best-colleges/antelope-valley-college-667028
"Austin Community College District",https://www.usnews.com/best-colleges/austin-community-college-district-334336
"Bakersfield College",https://www.usnews.com/best-colleges/bakersfield-college-667029
"Bellevue College",https://www.usnews.com/best-colleges/bellevue-college-3769
"Bellingham Technical College",https://www.usnews.com/best-colleges/bellingham-technical-college-667030
"Brazosport College",https://www.usnews.com/best-colleges/brazosport-college-7287
"Cascadia College",https://www.usnews.com/best-colleges/cascadia-college-667031
"Centralia College",https://www.usnews.com/best-colleges/centralia-college-666981
"Clark College",https://www.usnews.com/best-colleges/clark-college-667032
"Clover Park Technical College",https://www.usnews.com/best-colleges/clover-park-technical-college-667033
