School_Name,URL
"Butler University",https://www.usnews.com/best-colleges/butler-university-1788
"John Carroll University",https://www.usnews.com/best-colleges/john-carroll-university-3050
"Milwaukee School of Engineering",https://www.usnews.com/best-colleges/milwaukee-school-of-engineering-3868
"Calvin University",https://www.usnews.com/best-colleges/calvin-university-2241
"Dordt University",https://www.usnews.com/best-colleges/dordt-university-1859
"Rockhurst University",https://www.usnews.com/best-colleges/rockhurst-university-2499
"Augustana University",https://www.usnews.com/best-colleges/augustana-university-3458
"Elmhurst University",https://www.usnews.com/best-colleges/elmhurst-university-1676
"Truman State University",https://www.usnews.com/best-colleges/truman-state-2495
"University of Northern Iowa",https://www.usnews.com/best-colleges/university-of-northern-iowa-1890
"Kettering University",https://www.usnews.com/best-colleges/kettering-university-2262
"Baldwin Wallace University",https://www.usnews.com/best-colleges/baldwin-wallace-college-3014
"Otterbein University",https://www.usnews.com/best-colleges/otterbein-university-3110
"Indiana Wesleyan University",https://www.usnews.com/best-colleges/indiana-wesleyan-university-1822
"University of Michigan--Dearborn",https://www.usnews.com/best-colleges/michigan-dearborn-2326
"University of Wisconsin--La Crosse",https://www.usnews.com/best-colleges/university-of-wisconsin-la-crosse-3919
"Cedarville University",https://www.usnews.com/best-colleges/cedarville-university-3025
"University of Evansville",https://www.usnews.com/best-colleges/university-of-evansville-1795
"University of Minnesota Duluth",https://www.usnews.com/best-colleges/university-of-minnesota-duluth-2388
"North Central College",https://www.usnews.com/best-colleges/north-central-college-1734
"South Dakota School of Mines and Technology",https://www.usnews.com/best-colleges/south-dakota-school-of-mines-3470
"Hamline University",https://www.usnews.com/best-colleges/hamline-university-2354
"Winona State University",https://www.usnews.com/best-colleges/winona-state-2394
"University of Nebraska at Kearney",https://www.usnews.com/best-colleges/university-of-nebraska-at-kearney-2551
"Dominican University",https://www.usnews.com/best-colleges/dominican-university-1750
"Drury University",https://www.usnews.com/best-colleges/drury-university-2461
"Franciscan University of Steubenville",https://www.usnews.com/best-colleges/franciscan-university-3036
"University of Wisconsin--Eau Claire",https://www.usnews.com/best-colleges/university-of-wisconsin-eau-claire-3917
"Lewis University",https://www.usnews.com/best-colleges/lewis-university-1707
"University of Illinois--Springfield",https://www.usnews.com/best-colleges/university-of-illinois-springfield-9333
"University of Wisconsin--Whitewater",https://www.usnews.com/best-colleges/university-of-wisconsin-whitewater-3926
"Augsburg University",https://www.usnews.com/best-colleges/augsburg-university-2334
"Carroll University",https://www.usnews.com/best-colleges/carroll-university-3838
"Webster University",https://www.usnews.com/best-colleges/webster-university-2521
"Huntington University",https://www.usnews.com/best-colleges/huntington-university-1803
"University of Northwestern--St. Paul",https://www.usnews.com/best-colleges/northwestern-college-2371
"University of Saint Francis",https://www.usnews.com/best-colleges/university-of-saint-francis-1832
"College of Saint Mary",https://www.usnews.com/best-colleges/college-of-saint-mary-2540
"Nebraska Wesleyan University",https://www.usnews.com/best-colleges/nebraska-wesleyan-university-2555
"Olivet Nazarene University",https://www.usnews.com/best-colleges/olivet-nazarene-university-1741
"University of Mount Union",https://www.usnews.com/best-colleges/university-of-mount-union-3083
"Ashland University",https://www.usnews.com/best-colleges/ashland-university-3012
"Capital University",https://www.usnews.com/best-colleges/capital-university-3023
"Northwestern College",https://www.usnews.com/best-colleges/northwestern-college-1883
"Saint Mary-of-the-Woods College",https://www.usnews.com/best-colleges/saint-maryofthewoods-college-1835
"Carthage College",https://www.usnews.com/best-colleges/carthage-college-3839
"Muskingum University",https://www.usnews.com/best-colleges/muskingum-university-3084
"Saint Xavier University",https://www.usnews.com/best-colleges/saint-xavier-university-1768
"Buena Vista University",https://www.usnews.com/best-colleges/buena-vista-university-1847
"Lawrence Technological University",https://www.usnews.com/best-colleges/lawrence-tech-2279
"Minnesota State University--Moorhead",https://www.usnews.com/best-colleges/minnesota-state-university-moorhead-2367
"Northern Michigan University",https://www.usnews.com/best-colleges/northern-michigan-university-2301
"University of Wisconsin--Platteville",https://www.usnews.com/best-colleges/university-of-wisconsin-platteville-3921
"Eastern Illinois University",https://www.usnews.com/best-colleges/eastern-illinois-university-1674
"Minnesota State University--Mankato",https://www.usnews.com/best-colleges/minnesota-state-university-mankato-2360
"North Park University",https://www.usnews.com/best-colleges/north-park-university-1735
"University of Wisconsin--River Falls",https://www.usnews.com/best-colleges/university-of-wisconsin-river-falls-3923
"University of Wisconsin--Stevens Point",https://www.usnews.com/best-colleges/uw-stevens-point-3924
"Mount Mary University",https://www.usnews.com/best-colleges/mount-mary-college-3869
"University of Central Missouri",https://www.usnews.com/best-colleges/university-of-central-missouri-2454
"Benedictine University",https://www.usnews.com/best-colleges/benedictine-university-1767
"Bethel University (IN)",https://www.usnews.com/best-colleges/bethel-university-in-1787
"Dakota State University",https://www.usnews.com/best-colleges/dakota-state-university-3463
"Doane University",https://www.usnews.com/best-colleges/doane-university-2544
"Northern State University",https://www.usnews.com/best-colleges/northern-state-university-3466
"Ursuline College",https://www.usnews.com/best-colleges/ursuline-3134
"Viterbo University",https://www.usnews.com/best-colleges/viterbo-university-3911
"Grace College",https://www.usnews.com/best-colleges/grace-college-1800
"Mount Mercy University",https://www.usnews.com/best-colleges/mount-mercy-university-1880
"Southeast Missouri State University",https://www.usnews.com/best-colleges/southeast-missouri-state-2501
"Bemidji State University",https://www.usnews.com/best-colleges/bemidji-state-2336
"Heidelberg University",https://www.usnews.com/best-colleges/heidelberg-university-3048
"University of Sioux Falls",https://www.usnews.com/best-colleges/university-of-sioux-falls-3469
"Madonna University",https://www.usnews.com/best-colleges/madonna-university-2282
"University of Wisconsin--Green Bay",https://www.usnews.com/best-colleges/uw-green-bay-3899
"Washburn University",https://www.usnews.com/best-colleges/washburn-university-1949
"Western Illinois University",https://www.usnews.com/best-colleges/western-illinois-university-1780
"Anderson University (IN)",https://www.usnews.com/best-colleges/anderson-university-in-1785
"Cornerstone University",https://www.usnews.com/best-colleges/cornerstone-university-2266
"Emporia State University",https://www.usnews.com/best-colleges/emporia-state-university-1927
"Fort Hays State University",https://www.usnews.com/best-colleges/fort-hays-state-university-1915
"University of Dubuque",https://www.usnews.com/best-colleges/university-of-dubuque-1891
"University of Southern Indiana",https://www.usnews.com/best-colleges/university-of-southern-indiana-1808
"Alverno College",https://www.usnews.com/best-colleges/alverno-college-3832
"Grand View University",https://www.usnews.com/best-colleges/grand-view-university-1867
"Manchester University",https://www.usnews.com/best-colleges/manchester-university-1820
"Mount Vernon Nazarene University",https://www.usnews.com/best-colleges/mount-vernon-nazarene-university-7085
"Northwest Missouri State University",https://www.usnews.com/best-colleges/northwest-missouri-2496
"Pittsburg State University",https://www.usnews.com/best-colleges/pittsburg-state-university-1926
"Spring Arbor University",https://www.usnews.com/best-colleges/spring-arbor-university-2318
"University of Wisconsin--Stout",https://www.usnews.com/best-colleges/university-of-wisconsin-stout-3915
"Evangel University",https://www.usnews.com/best-colleges/evangel-university-2463
"Mount Marty University",https://www.usnews.com/best-colleges/mount-marty-university-3465
"University of Saint Mary",https://www.usnews.com/best-colleges/university-of-saint-mary-1943
"MidAmerica Nazarene University",https://www.usnews.com/best-colleges/midamerica-nazarene-university-7032
"St. Cloud State University",https://www.usnews.com/best-colleges/st-cloud-state-university-2377
"Stephens College",https://www.usnews.com/best-colleges/stephens-college-2512
"Wayne State College",https://www.usnews.com/best-colleges/wayne-state-college-2566
"Saginaw Valley State University",https://www.usnews.com/best-colleges/saginaw-valley-state-university-2314
"Youngstown State University",https://www.usnews.com/best-colleges/youngstown-state-3145
"Concordia University (NE)",https://www.usnews.com/best-colleges/concordia-university-nebraska-2541
"Malone University",https://www.usnews.com/best-colleges/malone-university-3072
"McKendree University",https://www.usnews.com/best-colleges/mckendree-university-1722
"Purdue University--Northwest",https://www.usnews.com/best-colleges/purdue-university-northwest-666998
"Concordia University, St. Paul",https://www.usnews.com/best-colleges/concordia-university-st-paul-2347
"Greenville University",https://www.usnews.com/best-colleges/greenville-university-1684
"Metropolitan State University",https://www.usnews.com/best-colleges/metropolitan-state-university-10374
"Southwest Baptist University",https://www.usnews.com/best-colleges/southwest-baptist-2502
"Southwest Minnesota State University",https://www.usnews.com/best-colleges/southwest-minnesota-state-2375
"Judson University",https://www.usnews.com/best-colleges/judson-university-1700
"Marian University (WI)",https://www.usnews.com/best-colleges/marian-university-3861
"Indiana University East",https://www.usnews.com/best-colleges/indiana-university-east-1811
"Lakeland University",https://www.usnews.com/best-colleges/lakeland-university-3854
"Minot State University",https://www.usnews.com/best-colleges/minot-state-2994
"Ohio Dominican University",https://www.usnews.com/best-colleges/ohio-dominican-university-3035
"Purdue University--Fort Wayne",https://www.usnews.com/best-colleges/purdue-university-fort-wayne-1812
"Shawnee State University",https://www.usnews.com/best-colleges/shawnee-state-university-12748
"Newman University",https://www.usnews.com/best-colleges/newman-university-1939
"University of Wisconsin--Parkside",https://www.usnews.com/best-colleges/university-of-wisconsin-parkside-5015
"Avila University",https://www.usnews.com/best-colleges/avila-university-2449
"Indiana University--Kokomo",https://www.usnews.com/best-colleges/indiana-university-kokomo-1814
