School_Name,URL
"The Citadel, the Military College of South Carolina",https://www.usnews.com/best-colleges/the-citadel-the-military-college-of-south-carolina-3423
"Rollins College",https://www.usnews.com/best-colleges/rollins-college-1515
"Appalachian State University",https://www.usnews.com/best-colleges/appalachian-state-2906
"Berry College",https://www.usnews.com/best-colleges/berry-college-1554
"Embry-Riddle Aeronautical University-Daytona Beach",https://www.usnews.com/best-colleges/embryriddle-aeronautical-universitydaytona-beach-1479
"Christopher Newport University",https://www.usnews.com/best-colleges/christopher-newport-university-3706
"Stetson University",https://www.usnews.com/best-colleges/stetson-university-1531
"Savannah College of Art and Design",https://www.usnews.com/best-colleges/savannah-college-of-art-and-design-29258
"College of Charleston",https://www.usnews.com/best-colleges/college-of-charleston-3428
"Tuskegee University",https://www.usnews.com/best-colleges/tuskegee-university-1050
"Florida Southern College",https://www.usnews.com/best-colleges/florida-southern-college-1488
"Georgia College & State University",https://www.usnews.com/best-colleges/georgia-college--state-university-1602
"University of Tampa",https://www.usnews.com/best-colleges/university-of-tampa-1538
"Murray State University",https://www.usnews.com/best-colleges/murray-state-university-1977
"University of West Florida",https://www.usnews.com/best-colleges/university-of-west-florida-3955
"John Brown University",https://www.usnews.com/best-colleges/john-brown-university-1100
"Longwood University",https://www.usnews.com/best-colleges/longwood-university-3719
"Queens University of Charlotte",https://www.usnews.com/best-colleges/queens-university-charlotte-2957
"Xavier University of Louisiana",https://www.usnews.com/best-colleges/xavier-university-of-louisiana-2032
"The University of Tennessee at Martin",https://www.usnews.com/best-colleges/the-university-of-tennessee-at-martin-3531
"Winthrop University",https://www.usnews.com/best-colleges/winthrop-university-3456
"University of Montevallo",https://www.usnews.com/best-colleges/university-of-montevallo-1004
"Asbury University",https://www.usnews.com/best-colleges/asbury-university-1952
"Bob Jones University",https://www.usnews.com/best-colleges/bob-jones-university-666997
"Freed-Hardeman University",https://www.usnews.com/best-colleges/freedhardeman-university-3492
"Milligan University",https://www.usnews.com/best-colleges/milligan-university-3511
"Emory & Henry University",https://www.usnews.com/best-colleges/emory--henry-university-3709
"Morehead State University",https://www.usnews.com/best-colleges/morehead-state-university-1976
"North Carolina Central University",https://www.usnews.com/best-colleges/north-carolina-central-2950
"University of North Alabama",https://www.usnews.com/best-colleges/university-of-north-alabama-1016
"Anderson University (SC)",https://www.usnews.com/best-colleges/anderson-university-south-carolina-3418
"Lee University",https://www.usnews.com/best-colleges/lee-university-3500
"Coastal Carolina University",https://www.usnews.com/best-colleges/coastal-carolina-university-3451
"Converse University",https://www.usnews.com/best-colleges/converse-university-3431
"Mississippi University for Women",https://www.usnews.com/best-colleges/mississippi-women-2422
