School_Name,URL
"California Polytechnic State University--San Luis Obispo",https://www.usnews.com/best-colleges/california-polytechnic-state-university-san-luis-obispo-1143
"University of Portland",https://www.usnews.com/best-colleges/university-of-portland-3224
"California State Polytechnic University--Pomona",https://www.usnews.com/best-colleges/california-state-polytechnic-university-pomona-1144
"San Jose State University",https://www.usnews.com/best-colleges/san-jose-state-university-1155
"Saint Edward's University",https://www.usnews.com/best-colleges/saint-edwards-university-3621
"University of Washington Bothell",https://www.usnews.com/best-colleges/university-of-washington-bothell-600788
"Saint Mary's College of California",https://www.usnews.com/best-colleges/st-marys-college-of-california-1302
"University of Washington Tacoma",https://www.usnews.com/best-colleges/university-of-washington-tacoma-610134
"California State University--Stanislaus",https://www.usnews.com/best-colleges/california-state-university-stanislaus-1157
"University of Dallas",https://www.usnews.com/best-colleges/university-of-dallas-3651
"California State University--Monterey Bay",https://www.usnews.com/best-colleges/csumb-32603
"University of Redlands",https://www.usnews.com/best-colleges/university-of-redlands-1322
"California State University--Los Angeles",https://www.usnews.com/best-colleges/california-state-university-los-angeles-1140
"St. Mary's University of San Antonio",https://www.usnews.com/best-colleges/st-marys-university-san-antonio-3623
"Whitworth University",https://www.usnews.com/best-colleges/whitworth-university-3804
"California Lutheran University",https://www.usnews.com/best-colleges/california-lutheran-university-1133
"California State University--Chico",https://www.usnews.com/best-colleges/california-state-university-chico-1146
"Point Loma Nazarene University",https://www.usnews.com/best-colleges/point-loma-nazarene-university-1262
"Westminster University",https://www.usnews.com/best-colleges/westminster-university-3681
"California State University--Northridge",https://www.usnews.com/best-colleges/california-state-university-northridge-1153
"New Mexico Tech",https://www.usnews.com/best-colleges/nmt-2654
"California State University--Sacramento",https://www.usnews.com/best-colleges/california-state-university-sacramento-1150
"California State University--Channel Islands",https://www.usnews.com/best-colleges/california-state-university-channel-islands-39803
"California State University--San Marcos",https://www.usnews.com/best-colleges/california-state-university-san-marcos-30113
"Cal Poly Humboldt",https://www.usnews.com/best-colleges/cal-poly-humboldt-1149
"Sonoma State University",https://www.usnews.com/best-colleges/sonoma-state-university-1156
"Western Washington University",https://www.usnews.com/best-colleges/western-washington-3802
"California Institute of the Arts",https://www.usnews.com/best-colleges/california-institute-of-the-arts-1132
"Mount Saint Mary's University",https://www.usnews.com/best-colleges/mount-saint-marys-university-1243
"Pacific Lutheran University",https://www.usnews.com/best-colleges/pacific-lutheran-university-3785
"California State University--Bakersfield",https://www.usnews.com/best-colleges/csub-7993
"Dominican University of California",https://www.usnews.com/best-colleges/dominican-university-of-california-1196
"California Baptist University",https://www.usnews.com/best-colleges/california-baptist-university-1125
"ArtCenter College of Design",https://www.usnews.com/best-colleges/artcenter-college-of-design-1116
"Montana Technological University",https://www.usnews.com/best-colleges/montana-technological-university-2531
"California State University--Dominguez Hills",https://www.usnews.com/best-colleges/california-state-university-dominguez-hills-1141
"LeTourneau University",https://www.usnews.com/best-colleges/letourneau-university-3584
"Chaminade University of Honolulu",https://www.usnews.com/best-colleges/chaminade-university-of-honolulu-1605
"Stephen F. Austin State University",https://www.usnews.com/best-colleges/stephen-f-austin-state-university-3624
"Texas A&M International University",https://www.usnews.com/best-colleges/texas-am-international-9651
"La Sierra University",https://www.usnews.com/best-colleges/la-sierra-university-1215
"The University of North Texas at Dallas",https://www.usnews.com/best-colleges/the-university-of-north-texas-at-dallas-666992
"Oklahoma Baptist University",https://www.usnews.com/best-colleges/oklahoma-baptist-university-3164
"Vanguard University of Southern California",https://www.usnews.com/best-colleges/vanguard-university-of-southern-california-1293
"Woodbury University",https://www.usnews.com/best-colleges/woodbury-university-1343
"Central Washington University",https://www.usnews.com/best-colleges/central-washington-university-3771
"Fresno Pacific University",https://www.usnews.com/best-colleges/fresno-pacific-university-1253
"Parker University",https://www.usnews.com/best-colleges/parker-university-23053
"Walla Walla University",https://www.usnews.com/best-colleges/walla-walla-university-3799
"Weber State University",https://www.usnews.com/best-colleges/weber-state-university-3680
"West Texas A&M University",https://www.usnews.com/best-colleges/west-texas-am-university-3665
"Eastern Washington University",https://www.usnews.com/best-colleges/eastern-washington-university-3775
"Northwest University",https://www.usnews.com/best-colleges/northwest-university-3783
"Heritage University",https://www.usnews.com/best-colleges/heritage-university-3777
"University of Guam",https://www.usnews.com/best-colleges/university-of-guam-3935
"Angelo State University",https://www.usnews.com/best-colleges/angelo-state-university-3541
"Northwest Nazarene University",https://www.usnews.com/best-colleges/northwest-nazarene-university-1624
"Saint Martin's University",https://www.usnews.com/best-colleges/st-martins-3794
"Texas A&M University--San Antonio",https://www.usnews.com/best-colleges/texas-am-san-antonio-845912
"Western Oregon University",https://www.usnews.com/best-colleges/western-oregon-university-3209
"Houston Christian University",https://www.usnews.com/best-colleges/houston-christian-university-3576
"University of Central Oklahoma",https://www.usnews.com/best-colleges/university-of-central-oklahoma-3152
"University of Houston--Downtown",https://www.usnews.com/best-colleges/university-of-houston-downtown-12826
"Southern Utah University",https://www.usnews.com/best-colleges/southern-utah-university-3678
"Colorado Christian University",https://www.usnews.com/best-colleges/colorado-christian-university-9401
"Oklahoma Christian University",https://www.usnews.com/best-colleges/oklahoma-christian-3165
"The Evergreen State College",https://www.usnews.com/best-colleges/the-evergreen-state-college-8155
"Southern Nazarene University",https://www.usnews.com/best-colleges/southern-nazarene-university-3149
"Northeastern State University",https://www.usnews.com/best-colleges/northeastern-state-university-3161
"University of Texas Permian Basin",https://www.usnews.com/best-colleges/university-of-texas-permian-basin-9930
"Bushnell University",https://www.usnews.com/best-colleges/bushnell-university-3208
"Corban University",https://www.usnews.com/best-colleges/corban-university-1339
"Oral Roberts University",https://www.usnews.com/best-colleges/oral-roberts-university-3985
"University of Alaska Anchorage",https://www.usnews.com/best-colleges/university-of-alaska-anchorage-11462
"Eastern Oregon University",https://www.usnews.com/best-colleges/eastern-oregon-university-3193
"Western Colorado University",https://www.usnews.com/best-colleges/western-colorado-university-1372
"Jessup University",https://www.usnews.com/best-colleges/jessup-university-1281
"Lubbock Christian University",https://www.usnews.com/best-colleges/lubbock-christian-university-3586
"Midwestern State University",https://www.usnews.com/best-colleges/midwestern-state-3592
"Southwestern Oklahoma State University",https://www.usnews.com/best-colleges/southwestern-oklahoma-state-university-3181
"Colorado State University Pueblo",https://www.usnews.com/best-colleges/colorado-state-university-pueblo-1365
"East Texas Baptist University",https://www.usnews.com/best-colleges/east-texas-baptist-university-3564
"Nelson University",https://www.usnews.com/best-colleges/nelson-university-3616
"NewSchool of Architecture and Design",https://www.usnews.com/best-colleges/newschool-of-architecture-and-design-30439
"Northwestern Oklahoma State University",https://www.usnews.com/best-colleges/northwestern-oklahoma-state-3163
"Hawaii Pacific University",https://www.usnews.com/best-colleges/hawaii-pacific-university-7279
"Metropolitan State University of Denver",https://www.usnews.com/best-colleges/metropolitan-state-university-of-denver-1360
"Rocky Mountain College",https://www.usnews.com/best-colleges/rocky-mountain-college-2534
"Schreiner University",https://www.usnews.com/best-colleges/schreiner-university-3610
"Prescott College",https://www.usnews.com/best-colleges/prescott-college-29022
"Southern Oregon University",https://www.usnews.com/best-colleges/southern-oregon-university-3219
"Texas A&M University--Texarkana",https://www.usnews.com/best-colleges/texas-am-texarkana-31703
"Eastern New Mexico University",https://www.usnews.com/best-colleges/eastern-new-mexico-university-2651
"Utah Valley University",https://www.usnews.com/best-colleges/utah-valley-4027
"Montana State University Billings",https://www.usnews.com/best-colleges/montana-state-billings-2530
"Texas A&M University--Victoria",https://www.usnews.com/best-colleges/texas-am-university-victoria-13231
"New Mexico Highlands University",https://www.usnews.com/best-colleges/new-mexico-highlands-university-2653
"Cameron University",https://www.usnews.com/best-colleges/cameron-university-3150
"Southeastern Oklahoma State University",https://www.usnews.com/best-colleges/southeastern-oklahoma-state-3179
"East Central University",https://www.usnews.com/best-colleges/east-central-university-3154
"Sul Ross State University",https://www.usnews.com/best-colleges/sul-ross-3625
"Adams State University",https://www.usnews.com/best-colleges/adams-state-university-1345
"Concordia University Texas",https://www.usnews.com/best-colleges/concordia-austin-3557
"National University",https://www.usnews.com/best-colleges/national-university-11460
